,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use,effective,efficient
4883,Garden,55829,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.lowes.com/pd/AMDRO-Ant-Block-24-oz-Ant-Killer/1000044709,Lowes,Amdro,1000044709,1000044709,No,2021-06-03T00:00:00,2021,6,22,Problem solver,Great product. We had huge problem with ants everywhere in our house. Used product and in about a week all ants were gone.,organic reviews,9.47,5,0,0,0,No,great product. we had huge problem with ants everywhere in our house. used product and in about a week all ants were gone.,6/3/2021,23,positive,,,1,1
3551,Garden,33176,Pennington Wild Bird Food,http://www.homedepot.com/p/t/312026386,Homedepot,Pennington Bird,312026386,312026384,Yes,2021-06-09T00:00:00,2021,6,23,The seeds mix is good...,The seeds mix is good,organic reviews,12.98,2,0,0,0,No,the seeds mix is good,6/9/2021,5,positive,,,1,
2545,Garden,22333,Centipede Seed With Mulch 5lb bag,http://www.homedepot.com/p/t/100598598,Homedepot,Pennington Grass,100598598,100598598,Yes,2021-07-09T00:00:00,2021,7,27,This product was easy spread and have covered the entire area I was having problems with.  Highly...,This product was easy spread and have covered the entire area I was having problems with.  Highly recommend.,organic reviews,39.64,5,0,0,0,No,this product was easy spread and have covered the entire area i was having problems with.  highly recommend.,7/9/2021,19,positive,,1,1,1
614,Garden,4312,Sevin Lawn Insect Granules 10 lb.,https://www.amazon.com/Sevin-Lawn-Insect-Granules-Pounds/dp/B000RUAR0G/ref=sr_1_1?keywords=Sevin+Lawn+Insect+Granules+10+lb.&qid=1637142491&sr=8-1#customerReviews,Amazon,GardenTech,B000RUAR0G,B000RUAR0G,No,2021-07-03T00:00:00,2021,7,26,Use as directed,"When I first purchased this bag, bugs kept eating my tomatoes. Then, I finally decided to read the directions and re-applied it. I have seen just a very few bugs and they arent chewing into my tomatoes or peppers. I also bought the spray that you attach to the water hose and used it at the same time. Ill buy this again next year.",organic reviews,19,5,0,0,1,No,"when i first purchased this bag, bugs kept eating my tomatoes. then, i finally decided to read the directions and re-applied it. i have seen just a very few bugs and they arent chewing into my tomatoes or peppers. i also bought the spray that you attach to the water hose and used it at the same time. ill buy this again next year.",7/3/2021,64,positive,,,1,
19,Garden,244,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-06-13T00:00:00,2021,6,23,Very Effective for Harvester Ants,Actually kills Harvester Ants! We have struggled with massive colonies all over our pasture in Texas. Tried many types of ant killers. This thing can knock out even our mega-colonies surprisingly fast. This is now a staple.,organic reviews,20.59,5,0,0,0,No,actually kills harvester ants! we have struggled with massive colonies all over our pasture in texas. tried many types of ant killers. this thing can knock out even our mega-colonies surprisingly fast. this is now a staple.,6/13/2021,37,positive,,,1,1
6990,Garden,66850,Pennington 16 oz Glass Hummingbird Feeder,https://www.walmart.com//ip/Pennington-Glass-Hummingbird-Feeder-16-oz-Nectar-Capacity/46855889?selected=true,Walmart,Pennington Bird,46855889,46855889,No,2021-08-02T00:00:00,2021,8,31,Its a Dandy,"Great price for better built than other choices. No metal means no rust,better built flowers arent coming off this one. Order two, I did.",organic reviews,8.94,5,0,0,0,No,"great price for better built than other choices. no metal means no rust,better built flowers arent coming off this one. order two, i did.",8/2/2021,24,positive,1,,1,
2688,Garden,23047,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,http://www.homedepot.com/p/t/205561089,Homedepot,Pennington Fertilizer,205561089,205561089,Yes,2021-10-23T00:00:00,2021,10,42,Excellent product! Turned my brown grass green in no time....,Excellent product! Turned my brown grass green in no time. Would highly recommend!,organic reviews,18.98,5,0,0,0,No,excellent product! turned my brown grass green in no time. would highly recommend!,10/23/2021,13,positive,,,1,1
22519,Garden,134493,Sevin Ready-to-Use 1 gal.,https://www.lowes.com/pd/Sevin-1-Gallon-Garden-Insect-Killer/50261725,Lowes,GardenTech,50261725,50261725,No,2022-05-19T00:00:00,2022,5,20,Absolutely amazing,[This review was collected as part of a promotion.] This product is amazing when I recieved it a few days ago in the mail I went straight outside and sprayed the whole way around my home and also in my flower bed and now few days later I havnt seen a bug of any kind so super awesome would definitely buy this product,syndicated reviews,16.98,5,1,0,0,Yes,[this review was collected as part of a promotion.] this product is amazing when i recieved it a few days ago in the mail i went straight outside and sprayed the whole way around my home and also in my flower bed and now few days later i havnt seen a bug of any kind so super awesome would definitely buy this product,5/19/2022,63,positive,,1,1,1
1210,Garden,6632,Smart Seed Sun & Shade Mixture 7lb bag,https://www.amazon.com/dp/B08QCSTZ2F,Amazon,Pennington Grass,B08QCSTZ2F,B08QCRN569,Yes,2021-06-29T00:00:00,2021,6,26,Produced no grass!!,Just sadly awful!!! This seed didnt grow one bit of grass I used fertilizer first watered daily twice a day And nothing. I resorted to sod pods and got results.,organic reviews,24.25,1,0,0,3,No,just sadly awful!!! this seed didnt grow one bit of grass i used fertilizer first watered daily twice a day and nothing. i resorted to sod pods and got results.,6/29/2021,30,negative,,,1,
18963,Garden,130420,Sevin Ready to Use 5% Dust 1 lb. ,http://www.homedepot.com/p/203027209,Homedepot,GardenTech,203027209,203027209,No,2022-05-25T00:00:00,2022,5,21,The ants went away,[This review was collected as part of a promotion.] I have been having issues with ants for a while. I used this Seven Insect killer Dust and the ants are gone. The dust didnt immediately kill the ants but the ants were all gone from the place where I dusted. I feel satisfied that this actually works.,syndicated reviews,6.27,5,1,0,0,Yes,[this review was collected as part of a promotion.] i have been having issues with ants for a while. i used this seven insect killer dust and the ants are gone. the dust didnt immediately kill the ants but the ants were all gone from the place where i dusted. i feel satisfied that this actually works.,5/25/2022,57,positive,,,1,
2373,Garden,20247,Sevin Lawn Insect Granules 10 lb.,http://www.homedepot.com/p/t/304779519,Homedepot,GardenTech,304779519,304779519,Yes,2021-09-21T00:00:00,2021,9,38,Didnt kill army worms or prevent new hatching...,Didnt kill army worms or prevent new hatching,organic reviews,9.98,1,0,0,0,No,didnt kill army worms or prevent new hatching,9/21/2021,8,negative,,,1,
11630,Garden,73293,40 lbs. Wild Bird Food,http://www.homedepot.com/p/312026384,Homedepot,Pennington Bird,312026384,312026384,Yes,2022-02-01T00:00:00,2022,2,5,Good buy.  Associate was excellent....,Good buy.  Associate was excellent.,organic reviews,23.48,5,0,0,0,No,good buy.  associate was excellent.,2/1/2022,6,positive,,,1,
11434,Garden,73097,5 lbs. Moss Out! Ready-to-Use Moss Killer Lawn Granules,http://www.homedepot.com/p/314752274,Homedepot,Moss Out,314752274,314752274,No,2022-02-15T00:00:00,2022,2,7,easy & effective!,"[This review was collected as part of a promotion.] Moss out is easy to use and effective. Where I live we get all sorts of weeds, this helped control some in my lawn and didnt hurt my grass. I would like to try some more of their products on the rest of my yards weeds.",syndicated reviews,14.97,5,0,0,0,Yes,"[this review was collected as part of a promotion.] moss out is easy to use and effective. where i live we get all sorts of weeds, this helped control some in my lawn and didnt hurt my grass. i would like to try some more of their products on the rest of my yards weeds.",2/15/2022,55,positive,,,1,
23877,Garden,135976,Sevin Insect Killer Ready to Use2 1.33 Gal,https://www.lowes.com/pd/Sevin-Ready-to-Use-1-33-Gallon-Garden-Insect-Killer/1001413712,Lowes,GardenTech,1001413712,1001413712,No,2022-05-26T00:00:00,2022,5,21,"Easy to use, works great for household pests",[This review was collected as part of a promotion.] Started to have issues with ladybugs and ants. Started spraying this around the access areas and it solved the problem nicely.,syndicated reviews,22.98,5,0,0,0,Yes,[this review was collected as part of a promotion.] started to have issues with ladybugs and ants. started spraying this around the access areas and it solved the problem nicely.,5/26/2022,30,positive,,,1,
