,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use,effective,efficient,sentiment_m,cost_m,efficient_m,effective_m,ease of use_m,naive_cost,naive_efficient,naive_effective,naive_easeofuse
0,Garden,3,Alaska 5-1-1 Fish Fertilizer 5 Gal Bucket (concentrate),https://www.amazon.com/dp/B007QV9WA0,Amazon,Pennington Fertilizer,B007QV9WA0,B007QV9WA0,No,2021-07-12T00:00:00,2021,7,28,nice,good fish,organic reviews,148.93,5,0,0,0,No,good fish,7/12/2021,2,1,0,0,1,0,1,0,1,1,0,0,0,0,0
1,Garden,32,Ironite Plus Lawn & Plant Food 3lb resealable bag,https://www.amazon.com/dp/B0030BNI8W,Amazon,Pennington Fertilizer,B0030BNI8W,B0030BNI8W,No,2021-08-14T00:00:00,2021,8,32,Theres nothing wrong with the product,"however, I should have done a price comparison before buying. This product sells for less than half at the local store. Im sure its a wonderful product for plants and grass. Ill be buying this at the local Home Depot/Lowes.",organic reviews,0.0,4,0,0,1,No,"however, i should have done a price comparison before buying. this product sells for less than half at the local store. im sure its a wonderful product for plants and grass. ill be buying this at the local home depot/lowes.",8/14/2021,40,0,1,0,0,0,1,1,0,1,0,0,0,0,0
2,Garden,35,Ironite Plus Lawn & Plant Food 3lb resealable bag,https://www.amazon.com/dp/B0030BNI8W,Amazon,Pennington Fertilizer,B0030BNI8W,B0030BNI8W,No,2021-08-11T00:00:00,2021,8,32,good for my evergreen bushes,"had some evergreen bushes and Cyprus trees that were browning, using the Ironite did the trick",organic reviews,0.0,4,0,0,0,No,"had some evergreen bushes and cyprus trees that were browning, using the ironite did the trick",8/11/2021,16,1,0,0,1,0,0,0,1,1,0,0,0,0,0
3,Garden,66,AMDRO Fire Ant Bait 6oz,https://www.amazon.com/dp/B002YKMMSW,Amazon,Amdro,B002YKMMSW,B002YKMMSW,No,2021-08-13T00:00:00,2021,8,32,Didnt work for me,Followed the instructions and the ants actually took the bait initially but when I checked the hill again I could see the ants carrying the bait out of the hole.,organic reviews,9.59,1,0,0,0,No,followed the instructions and the ants actually took the bait initially but when i checked the hill again i could see the ants carrying the bait out of the hole.,8/13/2021,30,-1,0,0,1,0,0,0,1,1,1,0,0,0,0
4,Garden,96,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-08-31T00:00:00,2021,8,35,It just works,Granules are easy to spread over ant mounds and works in a couple of days,organic reviews,12.48,5,0,0,0,No,granules are easy to spread over ant mounds and works in a couple of days,8/31/2021,15,1,0,1,0,1,1,0,1,1,1,0,0,0,0
5,Garden,104,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-07-15T00:00:00,2021,7,28,Worked well,"I had fire ants ignoring and walking around Terro liquid bait. Dumped some of this beside the Terro and they went for it. It took 2 days, but no more ants!",organic reviews,12.48,5,0,0,0,No,"i had fire ants ignoring and walking around terro liquid bait. dumped some of this beside the terro and they went for it. it took 2 days, but no more ants!",7/15/2021,31,1,0,1,0,1,0,0,0,1,0,0,0,0,0
6,Garden,109,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-09-22T00:00:00,2021,9,38,This works great for the ants,This works great for the ants,organic reviews,12.48,5,0,0,0,No,this works great for the ants,9/22/2021,6,1,0,0,1,0,1,0,1,1,1,0,0,0,0
7,Garden,117,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-07-17T00:00:00,2021,7,28,Kills em dead!,Works as advertised! I sprinkle on any ant mounds in my yard and by the next day they have ceased!,organic reviews,12.48,5,0,0,0,No,works as advertised! i sprinkle on any ant mounds in my yard and by the next day they have ceased!,7/17/2021,20,1,0,1,1,1,0,0,1,1,1,0,0,0,0
8,Garden,122,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-07-26T00:00:00,2021,7,30,Not very effective,"Ive used a variety of brands and products to kill ants, but still have NOT found one that really works. This product falls into that category.Youre supposed to sprinkle this one out onto the ground without water, then the ants are supposed to grab the granules thinking its food, and take it inside the tunnels and nest. Then die from it. But, Ive watched the ants grab the granules and disperse it away from their hole. They obviously do not think its food to eat.So the ants win again!",organic reviews,12.48,2,0,0,2,No,"ive used a variety of brands and products to kill ants, but still have not found one that really works. this product falls into that category.youre supposed to sprinkle this one out onto the ground without water, then the ants are supposed to grab the granules thinking its food, and take it inside the tunnels and nest. then die from it. but, ive watched the ants grab the granules and disperse it away from their hole. they obviously do not think its food to eat.so the ants win again!",7/26/2021,89,-1,0,0,1,1,-1,0,0,0,0,0,0,0,0
9,Garden,143,AMDRO Fire Ant Bait 1lb,https://www.amazon.com/dp/B000HJDG0U,Amazon,Amdro,B000HJDG0U,B000HJDG0U,No,2021-09-21T00:00:00,2021,9,38,Definitely works,"I needed this for a nest of fire ants. Fortunately, they had not spread to the entire yard yet. This was easy, needed no water application like most granules. It did take two treatments (4 oz each, so one container was enough for two). It did the trick, they are gone!",organic reviews,12.48,5,0,0,0,No,"i needed this for a nest of fire ants. fortunately, they had not spread to the entire yard yet. this was easy, needed no water application like most granules. it did take two treatments (4 oz each, so one container was enough for two). it did the trick, they are gone!",9/21/2021,51,1,0,1,1,1,1,0,1,1,1,0,0,0,0
