,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count
15371,Garden,90655,Pennington Ready-to-Use Hummingbird Food 64oz,https://www.walmart.com//ip/Pennington-Ready-to-Use-Hummingbird-Food-No-Artificial-Dye-64-oz/471014069?selected=true,Walmart,PenningtonBird,471014069,471014069,No,2022-04-15T00:00:00,2022,4,15,Great nectar!,"I received product reimbursement in exchange for my honest review. We have so many hummingbirds that have been coming around, so I was excited to try this. The hummingbirds love it! Within an hour of having it out, I had visitors! Highly recommend.",organic reviews,5.74,5,0,0,0,No,"i received product reimbursement in exchange for my honest review. we have so many hummingbirds that have been coming around, so i was excited to try this. the hummingbirds love it! within an hour of having it out, i had visitors! highly recommend.",2022-04-15,43
6496,Garden,66334,Pennington Classic Wild Bird Feed 20lb,https://www.walmart.com//ip/Pennington-Classic-Wild-Bird-Feed-and-Seed-20-lb-Bag/17256227?selected=true,Walmart,PenningtonBird,17256227,16794608,Yes,2021-07-12T00:00:00,2021,7,28,Pennington Classic Wild Bird Feed and Seed 40 LB,"I love feeding the birds and squirrels, this is a perfect mix for both of them",organic reviews,10.97,5,0,0,0,No,"i love feeding the birds and squirrels, this is a perfect mix for both of them",2021-07-12,16
8354,Garden,68226,Pennington Classic Ear Corn,https://www.walmart.com//ip/Pennington-Classic-Whole-Ear-Corn-Squirrel-and-Critter-Feed-6-5-lb-Bag/17163381?selected=true,Walmart,PenningtonBird,17163381,17163381,No,2021-09-11T00:00:00,2021,9,36,,Good quality corn (for squirrel food) Good price! Fast delivery. A satisfied customer. Mike,organic reviews,7.47,5,0,0,0,No,good quality corn (for squirrel food) good price! fast delivery. a satisfied customer. mike,2021-09-11,14
14025,Garden,79242,Pennington Wild Bird Food Blend Bucket,http://www.homedepot.com/p/312026384,Homedepot,PenningtonBird,312026398,312026384,Yes,2022-04-01T00:00:00,2022,4,13,Great seed. Lots of birds come visit my yard....,Great seed. Lots of birds come visit my yard.,organic reviews,22.98,5,0,0,0,No,great seed. lots of birds come visit my yard.,2022-04-01,9
17456,Garden,111030,Pennington Wild Bird Food,http://www.homedepot.com/p/312026384,Homedepot,PenningtonBird,312026390,312026384,Yes,2022-04-28T00:00:00,2022,4,17,Birds and squirrels love it :)...,Birds and squirrels love it :),organic reviews,10.48,5,0,0,0,No,birds and squirrels love it :),2022-04-28,6
15280,Garden,90564,Pennington Select Birder's Blend 40lb,https://www.walmart.com//ip/Pennington-Select-Birder-s-Blend-Wild-Bird-Seed-and-Feed-40-lb-Bag/44496035?selected=true,Walmart,PenningtonBird,44496035,747667879,Yes,2022-04-13T00:00:00,2022,4,15,Bird seed delight,Not too many sunflowers seeds,organic reviews,31.13,5,0,0,0,No,not too many sunflowers seeds,2022-04-13,5
11229,Garden,72821,Pennington Classic Shell Peanuts,https://www.walmart.com//ip/Pennington-In-Shell-Peanuts-Wildlife-and-Wild-Bird-Food-5-lb-Bag/468955845?selected=true,Walmart,PenningtonBird,468955845,468955845,No,2022-01-20T00:00:00,2022,1,3,,"Cheaper than others I have found, and a big draw for squirrels and Bluejays. I just wish I could but then in the store instead of having to order them online.",organic reviews,13.47,5,0,0,0,No,"cheaper than others i have found, and a big draw for squirrels and bluejays. i just wish i could but then in the store instead of having to order them online.",2022-01-20,31
12822,Garden,76098,Pennington Premium Black Oil Sunflower Bird Seed,http://www.homedepot.com/p/312026381,Homedepot,PenningtonBird,312026382,312026381,Yes,2022-03-08T00:00:00,2022,3,10,Good price but lots of sticks and pieces of wood...,Good price but lots of sticks and pieces of wood that can plug up feeders,organic reviews,0.0,4,0,0,0,No,good price but lots of sticks and pieces of wood that can plug up feeders,2022-03-08,15
11020,Garden,72612,Pennington Select Black Oil Sunflower Seed 10lb,https://www.walmart.com//ip/Pennington-Select-Black-Oil-Sunflower-Seed-Wild-Bird-Feed-10-lb-Bag/44496032?selected=true,Walmart,PenningtonBird,44496032,44496029,Yes,2022-01-27T00:00:00,2022,1,4,Good,Seed was delivered 3 days before promised. Good.,organic reviews,11.48,5,0,0,0,No,seed was delivered 3 days before promised. good.,2022-01-27,8
26557,Garden,142489,Pennington Premium Black Oil Sunflower Bird Seed,http://www.homedepot.com/p/312026381,Homedepot,PenningtonBird,312026400,312026381,Yes,2022-06-30T00:00:00,2022,6,26,Pennington Sunflower seeds,Pennington  sunflower seeds has to much dust/dirt in the bag. Will not buy again.,organic reviews,17.48,2,0,0,0,No,pennington  sunflower seeds has to much dust/dirt in the bag. will not buy again.,2022-06-30,15
