,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment_m,cost_m,efficient_m,effective_m,ease of use_m,max,other_m,align_type
0,Garden,79100,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-04-01T00:00:00,2022,4,13,Trying to used for gopher not working...,Trying to used for gopher not working,organic reviews,7.97,1,0,0,0,No,trying to used for gopher not working,2022-04-01,7,neutral,,,,,0.1831604391336441,other,"('', '', '', '', 'other')"
1,Garden,80027,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2022-04-08T00:00:00,2022,4,14,Knowing that it works,Works like a dream,organic reviews,12.88,5,0,0,0,No,works like a dream,2022-04-08,4,neutral,,efficient,effective,ease of use,0.998744785785675,,"('', 'efficient', 'effective', 'ease of use', '')"
2,Garden,110633,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-05-04T00:00:00,2022,5,18,Works on city snails but the country ones just laugh....,Works on city snails but the country ones just laugh.,organic reviews,23.97,5,0,0,0,No,works on city snails but the country ones just laugh.,2022-05-04,10,neutral,,,effective,,0.9649169445037842,,"('', '', 'effective', '', '')"
3,Garden,100248,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-04-19T00:00:00,2022,4,16,I use Corrys slug and snail killer as my back...,I use Corrys slug and snail killer as my back up as I usually hand collect as many snails as I can and dispose of in trash.  Corrys is easy to apply and I try to keep it underneath plants so my pets arent eating it.  Corrys does the job.,organic reviews,23.97,4,0,0,0,No,i use corrys slug and snail killer as my back up as i usually hand collect as many snails as i can and dispose of in trash.  corrys is easy to apply and i try to keep it underneath plants so my pets arent eating it.  corrys does the job.,2022-04-19,52,neutral,cost,efficient,effective,ease of use,0.998730480670929,,"('cost', 'efficient', 'effective', 'ease of use', '')"
4,Garden,150347,Corry’s Slug & Snail Killer 3.5lb,https://www.walmart.com//ip/Corry-s-Ready-to-Use-Pellets-Slug-and-Snail-Killer-3-5-lbs/38441939?selected=true,Walmart,Corrys,38441939,38441939,No,2022-06-04T00:00:00,2022,6,22,Works quite well!,"I had used the Eliminator product many seasons in the past- and it worked well. This previous Spring, it wasnt readily available, as my cabbages were taking damage from those slimy pests. So, I looked into Corrys. I bought 2 of the small boxes and spread them around the perimeter of my veggie garden. Three days later, snail shells and dying snails everywhere. Yes, this works quite well. I then purchased 3 more boxes (this time the large ones) so I would be ready for the next year or two. Highly recommended- easy to apply.",organic reviews,12.46,5,0,0,0,No,"i had used the eliminator product many seasons in the past- and it worked well. this previous spring, it wasnt readily available, as my cabbages were taking damage from those slimy pests. so, i looked into corrys. i bought 2 of the small boxes and spread them around the perimeter of my veggie garden. three days later, snail shells and dying snails everywhere. yes, this works quite well. i then purchased 3 more boxes (this time the large ones) so i would be ready for the next year or two. highly recommended- easy to apply.",2022-06-04,95,positive,,efficient,effective,ease of use,0.9987739324569702,,"('', 'efficient', 'effective', 'ease of use', '')"
5,Garden,140198,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2022-06-10T00:00:00,2022,6,23,Works fine,We buy this every year to keep them down. It works like a charm.,organic reviews,25.98,5,0,0,0,No,we buy this every year to keep them down. it works like a charm.,2022-06-10,14,positive,cost,efficient,effective,ease of use,0.999225914478302,,"('cost', 'efficient', 'effective', 'ease of use', '')"
6,Garden,14304,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/t/203636436,Homedepot,Corrys,203636436,203636436,Yes,2021-07-23T00:00:00,2021,7,29,"Ive been using this for 2 years, works great!...","Ive been using this for 2 years, works great!",organic reviews,7.64,5,0,0,0,No,"ive been using this for 2 years, works great!",2021-07-23,9,positive,,efficient,effective,ease of use,0.9985873699188232,,"('', 'efficient', 'effective', 'ease of use', '')"
7,Garden,66793,Corry’s Slug & Snail Killer 1.75lb,https://www.walmart.com//ip/Corry-s-Ready-to-Use-Pellets-Slug-and-Snail-Killer-1-75-lbs/35610011?selected=true,Walmart,Corrys,35610011,35610011,No,2021-08-10T00:00:00,2021,8,32,I would give this product a 10!!!,"I have had major slug problems over the past 2 years. I tried everything to get rid of them. I would collect 30 to 50 slugs a night by hand. they were destroying my Hostas, Marigolds and Daylilies. Since I started using Corrys this year almost zero slugs and my plants look great. I recommend this product to everyone.",organic reviews,8.14,5,0,0,0,No,"i have had major slug problems over the past 2 years. i tried everything to get rid of them. i would collect 30 to 50 slugs a night by hand. they were destroying my hostas, marigolds and daylilies. since i started using corrys this year almost zero slugs and my plants look great. i recommend this product to everyone.",2021-08-10,59,negative,cost,efficient,effective,,0.9973242878913879,,"('cost', 'efficient', 'effective', '', '')"
8,Garden,14431,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/t/203636436,Homedepot,Corrys,203636436,203636436,Yes,2021-10-06T00:00:00,2021,10,40,It has always been a good product. I have purchased...,"It has always been a good product. I have purchased many tomes in the past and though I didnt see the slugs,it stopped them in less than a week. Great product!",organic reviews,7.64,5,0,0,0,No,"it has always been a good product. i have purchased many tomes in the past and though i didnt see the slugs,it stopped them in less than a week. great product!",2021-10-06,31,positive,cost,efficient,effective,ease of use,0.9981638193130493,,"('cost', 'efficient', 'effective', 'ease of use', '')"
9,Garden,5232,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-07-06T00:00:00,2021,7,27,Yucky snails,After I spread the snail killer. I awoke to twice the amount of snails,organic reviews,11.96,1,0,0,2,No,after i spread the snail killer. i awoke to twice the amount of snails,2021-07-06,14,negative,,efficient,effective,,0.9681294560432434,,"('', 'efficient', 'effective', '', '')"
