,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use ,effectiveness,efficiency
13883,Garden,79100,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-04-01T00:00:00,2022,4,13,Trying to used for gopher not working...,Trying to used for gopher not working,organic reviews,7.97,1,0,0,0,No,trying to used for gopher not working,4/1/22,7,negative,,,1,
14224,Garden,80027,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2022-04-08T00:00:00,2022,4,14,Knowing that it works,Works like a dream,organic reviews,12.88,5,0,0,0,No,works like a dream,4/8/22,4,positive,,1,1,
17059,Garden,110633,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-05-04T00:00:00,2022,5,18,Works on city snails but the country ones just laugh....,Works on city snails but the country ones just laugh.,organic reviews,23.97,5,0,0,0,No,works on city snails but the country ones just laugh.,5/4/22,10,negative,,,1,
15653,Garden,100248,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-04-19T00:00:00,2022,4,16,I use Corrys slug and snail killer as my back...,I use Corrys slug and snail killer as my back up as I usually hand collect as many snails as I can and dispose of in trash.  Corrys is easy to apply and I try to keep it underneath plants so my pets arent eating it.  Corrys does the job.,organic reviews,23.97,4,0,0,0,No,i use corrys slug and snail killer as my back up as i usually hand collect as many snails as i can and dispose of in trash.  corrys is easy to apply and i try to keep it underneath plants so my pets arent eating it.  corrys does the job.,4/19/22,52,positive,,1,1,
28434,Garden,150347,Corry’s Slug & Snail Killer 3.5lb,https://www.walmart.com//ip/Corry-s-Ready-to-Use-Pellets-Slug-and-Snail-Killer-3-5-lbs/38441939?selected=true,Walmart,Corrys,38441939,38441939,No,2022-06-04T00:00:00,2022,6,22,Works quite well!,"I had used the Eliminator product many seasons in the past- and it worked well. This previous Spring, it wasnt readily available, as my cabbages were taking damage from those slimy pests. So, I looked into Corrys. I bought 2 of the small boxes and spread them around the perimeter of my veggie garden. Three days later, snail shells and dying snails everywhere. Yes, this works quite well. I then purchased 3 more boxes (this time the large ones) so I would be ready for the next year or two. Highly recommended- easy to apply.",organic reviews,12.46,5,0,0,0,No,"i had used the eliminator product many seasons in the past- and it worked well. this previous spring, it wasnt readily available, as my cabbages were taking damage from those slimy pests. so, i looked into corrys. i bought 2 of the small boxes and spread them around the perimeter of my veggie garden. three days later, snail shells and dying snails everywhere. yes, this works quite well. i then purchased 3 more boxes (this time the large ones) so i would be ready for the next year or two. highly recommended- easy to apply.",6/4/22,95,positive,,1,1,1
24268,Garden,140198,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2022-06-10T00:00:00,2022,6,23,Works fine,We buy this every year to keep them down. It works like a charm.,organic reviews,25.98,5,0,0,0,No,we buy this every year to keep them down. it works like a charm.,6/10/22,14,positive,,,1,
1789,Garden,14304,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/t/203636436,Homedepot,Corrys,203636436,203636436,Yes,2021-07-23T00:00:00,2021,7,29,"Ive been using this for 2 years, works great!...","Ive been using this for 2 years, works great!",organic reviews,7.64,5,0,0,0,No,"ive been using this for 2 years, works great!",7/23/21,9,positive,,,1,
6933,Garden,66793,Corry’s Slug & Snail Killer 1.75lb,https://www.walmart.com//ip/Corry-s-Ready-to-Use-Pellets-Slug-and-Snail-Killer-1-75-lbs/35610011?selected=true,Walmart,Corrys,35610011,35610011,No,2021-08-10T00:00:00,2021,8,32,I would give this product a 10!!!,"I have had major slug problems over the past 2 years. I tried everything to get rid of them. I would collect 30 to 50 slugs a night by hand. they were destroying my Hostas, Marigolds and Daylilies. Since I started using Corrys this year almost zero slugs and my plants look great. I recommend this product to everyone.",organic reviews,8.14,5,0,0,0,No,"i have had major slug problems over the past 2 years. i tried everything to get rid of them. i would collect 30 to 50 slugs a night by hand. they were destroying my hostas, marigolds and daylilies. since i started using corrys this year almost zero slugs and my plants look great. i recommend this product to everyone.",8/10/21,59,positive,,,1,
1803,Garden,14431,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/t/203636436,Homedepot,Corrys,203636436,203636436,Yes,2021-10-06T00:00:00,2021,10,40,It has always been a good product. I have purchased...,"It has always been a good product. I have purchased many tomes in the past and though I didnt see the slugs,it stopped them in less than a week. Great product!",organic reviews,7.64,5,0,0,0,No,"it has always been a good product. i have purchased many tomes in the past and though i didnt see the slugs,it stopped them in less than a week. great product!",10/6/21,31,positive,,,1,
773,Garden,5232,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-07-06T00:00:00,2021,7,27,Yucky snails,After I spread the snail killer. I awoke to twice the amount of snails,organic reviews,11.96,1,0,0,2,No,after i spread the snail killer. i awoke to twice the amount of snails,7/6/21,14,neutral,,,1,
14840,Garden,90124,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-04-14T00:00:00,2022,4,15,Works,This is an old time product my grandpa always used and Im 57. It works great and  It is ok to use if you have dogs or cats.,organic reviews,7.97,5,0,0,0,No,this is an old time product my grandpa always used and im 57. it works great and  it is ok to use if you have dogs or cats.,4/14/22,29,positive,,,1,
25512,Garden,141444,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-06-24T00:00:00,2022,6,25,It did what it is supposed to do. Slugs vanished...,It did what it is supposed to do. Slugs vanished the very next day i applied corrys slug killer,organic reviews,7.97,5,0,0,0,No,it did what it is supposed to do. slugs vanished the very next day i applied corrys slug killer,6/24/22,19,positive,,,1,1
17035,Garden,110609,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-05-04T00:00:00,2022,5,18,I put 16 pounds around the perimeter of my house...,I put 16 pounds around the perimeter of my house and I havent seen a snail since then.,organic reviews,7.97,5,0,0,0,No,i put 16 pounds around the perimeter of my house and i havent seen a snail since then.,5/4/22,18,positive,,1,1,
796,Garden,5334,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-10-03T00:00:00,2021,10,39,Gone,Slugs were gone over night.,organic reviews,11.96,5,0,0,0,No,slugs were gone over night.,10/3/21,5,positive,,,1,1
25521,Garden,141453,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-06-22T00:00:00,2022,6,25,Seems to have worked to get rid of my slugs...,Seems to have worked to get rid of my slugs,organic reviews,7.97,5,0,0,0,No,seems to have worked to get rid of my slugs,6/22/22,10,neutral,,,1,
25515,Garden,141447,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-06-22T00:00:00,2022,6,25,Big reduction of slugs outside of my house at night....,Big reduction of slugs outside of my house at night.,organic reviews,7.97,5,0,0,0,No,big reduction of slugs outside of my house at night.,6/22/22,10,positive,,,1,1
13881,Garden,79098,Corry’s Slug & Snail Killer 1.75lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636436,203636436,Yes,2022-04-01T00:00:00,2022,4,13,I used a liquid slug bait called Deadline.  I...,"I used a liquid slug bait called Deadline.  I prefer it to dry slug bait, but cant find it anywhere.",organic reviews,7.97,3,0,0,0,No,"i used a liquid slug bait called deadline.  i prefer it to dry slug bait, but cant find it anywhere.",4/1/22,21,neutral,,1,,
25559,Garden,141491,Corry’s Slug & Snail Killer 3.5lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636434,203636436,Yes,2022-06-22T00:00:00,2022,6,25,Too soon to judge results....,Too soon to judge results.,organic reviews,13.97,4,0,0,0,No,too soon to judge results.,6/22/22,5,positive,,,1,1
13054,Garden,77093,Corry’s Slug & Snail Killer 3.5lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636434,203636436,Yes,2022-03-15T00:00:00,2022,3,11,Havent seen any slugs since Ive started using this last...,Havent seen any slugs since Ive started using this last year,organic reviews,13.97,5,0,0,0,No,havent seen any slugs since ive started using this last year,3/15/22,11,positive,,,1,
20004,Garden,131597,Corry’s Slug & Snail Killer 8lb,http://www.homedepot.com/p/203636436,Homedepot,Corrys,203636415,203636436,Yes,2022-05-19T00:00:00,2022,5,20,Pour a little pile away from your problem area and...,Pour a little pile away from your problem area and those little bugger will go to it,organic reviews,23.97,5,0,0,0,No,pour a little pile away from your problem area and those little bugger will go to it,5/19/22,17,neutral,,1,1,
775,Garden,5237,Corry’s Slug & Snail Killer 3.5lb,https://www.amazon.com/dp/B00CYNH3RE,Amazon,Corrys,B00CYNH3RE,B00CYNH3RE,No,2021-11-22T00:00:00,2021,11,47,Great product,I normally have a lot of slugs around my house but after just one use I havent seen a slug since and its been months.,organic reviews,11.96,5,0,0,0,No,i normally have a lot of slugs around my house but after just one use i havent seen a slug since and its been months.,11/22/21,25,positive,,,1,
