,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count
3025,Garden,28006,Lawn Booster Sun & Shade 9.6lb bag,http://www.homedepot.com/p/t/311569530,Homedepot,PenningtonGrass,311569530,311569530,Yes,2021-10-18T00:00:00,2021,10,42,"After 9 days, no growth. I have used much faster...","After 9 days, no growth. I have used much faster seed",organic reviews,17.98,2,0,0,0,No,"after 9 days, no growth. i have used much faster seed",2021-10-18,11
16018,Garden,100613,Smart Seed Sun & Shade Mixture 7lb bag,http://www.homedepot.com/p/314933321,Homedepot,PenningtonGrass,314933320,314933321,Yes,2022-04-19T00:00:00,2022,4,16,I followed the instructions and no grass has grown at...,I followed the instructions and no grass has grown at all. Disappointed. Waste of money.,organic reviews,29.97,1,0,0,0,No,i followed the instructions and no grass has grown at all. disappointed. waste of money.,2022-04-19,15
5696,Garden,65399,"Pennington Smart Patch Sun & Shade Mix, 5 lb Jug",https://www.lowes.com/pd/Pennington-Smart-Patch-Sun-and-Shade-5-LB/5005480037,Lowes,PenningtonGrass,5005480037,5005480037,Yes,2021-11-01T00:00:00,2021,11,44,Smart Patch,[This review was collected as part of a promotion.] Worked perfectly. Covered up the areas were I had patches of dried grass. I dont consider myself having a green thumb but even for me it was easy. Covers a wide area. Just use as directed. Pleased with my results.,syndicated reviews,16.98,5,0,0,0,Yes,[this review was collected as part of a promotion.] worked perfectly. covered up the areas were i had patches of dried grass. i dont consider myself having a green thumb but even for me it was easy. covers a wide area. just use as directed. pleased with my results.,2021-11-01,49
5649,Garden,65144,"Pennington Smart Patch Sun & Shade Mix, 5 lb Jug",https://www.lowes.com/pd/Pennington-Smart-Patch-Sun-and-Shade-5-LB/5005480037,Lowes,PenningtonGrass,5005480037,5005480037,Yes,2021-10-22T00:00:00,2021,10,42,Spot Repair For Lawns,"[This review was collected as part of a promotion.] It wasnt until I tried Pennington Smart Patch Sun & Shade Mix that I could finally repair the bare spots in my lawns caused by my dogs and lawn disease. This is so simple to use by raking and clearing debris, shaking on Smart patch, and then watering the area well. I can actually see new growth within one week and with the built-in mulch, it turns a lighter color so you know to water that area. This works well in either sun or shade and even has what they call a tackifier that acts as a blanket to cover and protect the seed from washing away so you know it will germinate and grow. This truly is the answer for me to have a complete lawn without any brown or bare spots. It just doesnt get any easier to have the lawn of envy. Thanks Pennington for making my life so much easier!",syndicated reviews,16.98,5,0,0,0,Yes,"[this review was collected as part of a promotion.] it wasnt until i tried pennington smart patch sun & shade mix that i could finally repair the bare spots in my lawns caused by my dogs and lawn disease. this is so simple to use by raking and clearing debris, shaking on smart patch, and then watering the area well. i can actually see new growth within one week and with the built-in mulch, it turns a lighter color so you know to water that area. this works well in either sun or shade and even has what they call a tackifier that acts as a blanket to cover and protect the seed from washing away so you know it will germinate and grow. this truly is the answer for me to have a complete lawn without any brown or bare spots. it just doesnt get any easier to have the lawn of envy. thanks pennington for making my life so much easier!",2021-10-22,163
6122,Garden,65875,"Pennington Smart Patch Dense Shade Mix, 5 lb Jug",https://www.lowes.com/pd/Pennington-Smart-Patch-Dense-Shade-5-LB/5005478563,Lowes,PenningtonGrass,5005478563,5005478563,Yes,2021-10-30T00:00:00,2021,10,43,Impressive!,"[This review was collected as part of a promotion.] Have been struggling to grow grass under a large old shady tree for a long time. So was happy to try Pennington Smart Patch Dense Shade Mix. Was easy to use & gave it a good watering daily to get it going ! Was excited to see results within a week in a few areas, where nothing has been able to grow before! Looking forward to the whole area being covered completely soon. Very impressed with the results so far.",syndicated reviews,16.98,4,0,0,0,Yes,"[this review was collected as part of a promotion.] have been struggling to grow grass under a large old shady tree for a long time. so was happy to try pennington smart patch dense shade mix. was easy to use & gave it a good watering daily to get it going ! was excited to see results within a week in a few areas, where nothing has been able to grow before! looking forward to the whole area being covered completely soon. very impressed with the results so far.",2021-10-30,89
17713,Garden,111287,Smart Seed Northeast Mixture 7lb bag,http://www.homedepot.com/p/314933296,Homedepot,PenningtonGrass,314933293,314933296,Yes,2022-05-04T00:00:00,2022,5,18,Very difficult to find someone to assist you in making...,Very difficult to find someone to assist you in making an informed decision to make a purchase,organic reviews,26.13,2,0,0,0,No,very difficult to find someone to assist you in making an informed decision to make a purchase,2022-05-04,17
4340,Garden,49733,"Pennington Smart Patch Tall Fescue Mix, 5 lb",http://www.homedepot.com/p/t/317713418,Homedepot,PenningtonGrass,317713418,317713418,No,2021-11-01T00:00:00,2021,11,44,Easy to Use & Works Great!,"[This review was collected as part of a promotion.] So easy to use! The directions are clear and easy to understand, the process only takes a few minutes and the results are fantastic. My yard has never looked better! All the yellow spots from the previous owners dog have disappeared along with the few bald spots we had. It worked fast too, in just a few weeks our yard has been transformed. I love it!",syndicated reviews,0.0,5,0,0,0,Yes,"[this review was collected as part of a promotion.] so easy to use! the directions are clear and easy to understand, the process only takes a few minutes and the results are fantastic. my yard has never looked better! all the yellow spots from the previous owners dog have disappeared along with the few bald spots we had. it worked fast too, in just a few weeks our yard has been transformed. i love it!",2021-11-01,75
4417,Garden,49811,"Pennington Smart Patch Tall Fescue Mix, 5 lb",http://www.homedepot.com/p/t/317713418,Homedepot,PenningtonGrass,317713418,317713418,No,2021-11-09T00:00:00,2021,11,45,Time will tell.,[This review was collected as part of a promotion.] I planted the seeds in a shady area on my front lawn. The neighborhood is full of mature trees. The leaves are falling so that adds additional shade. I have watered according to the instructions. The planting was done about 6 weeks ago. There is a small bit of growth. It may be impeded by the cooler temperatures as well. I am hoping for a little more growth before winter sets in.,syndicated reviews,0.0,3,0,0,0,Yes,[this review was collected as part of a promotion.] i planted the seeds in a shady area on my front lawn. the neighborhood is full of mature trees. the leaves are falling so that adds additional shade. i have watered according to the instructions. the planting was done about 6 weeks ago. there is a small bit of growth. it may be impeded by the cooler temperatures as well. i am hoping for a little more growth before winter sets in.,2021-11-09,81
27144,Garden,143076,Smart Seed Ohio State Mixture 3lb bag,http://www.homedepot.com/p/314933286,Homedepot,PenningtonGrass,314933286,314933286,Yes,2022-06-01T00:00:00,2022,6,22,Very easy to get great results. We had to repair...,Very easy to get great results. We had to repair much of the yard after some construction. My neighbors are asking how I quickly restored the lawn to fullness without buying sod.,organic reviews,16.97,5,0,0,0,No,very easy to get great results. we had to repair much of the yard after some construction. my neighbors are asking how i quickly restored the lawn to fullness without buying sod.,2022-06-01,32
15086,Garden,90370,Smart Seed Bermudagrass 8.75 lb bag,http://www.homedepot.com/p/314933301,Homedepot,PenningtonGrass,314933298,314933301,Yes,2022-04-13T00:00:00,2022,4,15,It did not germinate....,It did not germinate.,organic reviews,30.47,1,0,0,0,No,it did not germinate.,2022-04-13,4
