,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count
12508,Garden,74423,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112490018,Yes,2022-02-23T00:00:00,2022,2,8,Special Formula with Good Texture,Expert Gardener Potting Mix has a great texture and smells like fresh dirt. The soil is specially formulated for indoor and outdoor and claims to help grow bigger plants. I just topped off my strawberry plants and plan on using this soil to plant some flowers on the side of the house. I received product reimbursement in exchange for my honest review.,organic reviews,7.48,5,0,0,0,No,expert gardener potting mix has a great texture and smells like fresh dirt. the soil is specially formulated for indoor and outdoor and claims to help grow bigger plants. i just topped off my strawberry plants and plan on using this soil to plant some flowers on the side of the house. i received product reimbursement in exchange for my honest review.,2022-02-23,62
12322,Garden,74237,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112134279,Yes,2022-02-22T00:00:00,2022,2,8,Very positive results so far!,I really enjoyed trying something new for all my plants that were looking a little rough. Its pretty exciting to try something new that provides so many benefits. I like how it easily tells you what amount is needed for the size pot and its has a very healthy and super rich smell. Its very fresh and will do wonders for my plants. I received product reimbursement in exchange for my honest review.,organic reviews,11.97,5,0,0,0,No,i really enjoyed trying something new for all my plants that were looking a little rough. its pretty exciting to try something new that provides so many benefits. i like how it easily tells you what amount is needed for the size pot and its has a very healthy and super rich smell. its very fresh and will do wonders for my plants. i received product reimbursement in exchange for my honest review.,2022-02-22,73
7643,Garden,67515,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112134279,No,2021-07-21T00:00:00,2021,7,29,Great mix,"This is the perfect potting mix for the gardener at any stage. I love house and outdoor plants and this mix is great for both. I recommend and trust this brand as it also has a money back guarantee. This review was collected as part of a promotion, and the opinions are my own.",organic reviews,3.0,5,0,0,0,Yes,"this is the perfect potting mix for the gardener at any stage. i love house and outdoor plants and this mix is great for both. i recommend and trust this brand as it also has a money back guarantee. this review was collected as part of a promotion, and the opinions are my own.",2021-07-21,54
12495,Garden,74410,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112490018,Yes,2022-02-23T00:00:00,2022,2,8,Great potting mix as a great price.,I bought the potting mix because I am looking to grow indoor plants. I bought a different brand of potting mix before and noticed it was extremely moist to the point that there was mold. This potting mix smelled good and had no insects. I am so far satisfied with the purchase. I received product reimbursement in exchange for my honest review.,organic reviews,7.48,5,0,0,0,No,i bought the potting mix because i am looking to grow indoor plants. i bought a different brand of potting mix before and noticed it was extremely moist to the point that there was mold. this potting mix smelled good and had no insects. i am so far satisfied with the purchase. i received product reimbursement in exchange for my honest review.,2022-02-23,62
7655,Garden,67527,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112490018,Yes,2021-07-21T00:00:00,2021,7,29,Simple,"We were very pleased with how this product felt and how it worked. It was a simple and quick way to get our veggies planted. Im excited to see how my garden does. This review was collected as part of a promotion, and the opinions are my own",organic reviews,9.97,4,0,0,0,Yes,"we were very pleased with how this product felt and how it worked. it was a simple and quick way to get our veggies planted. im excited to see how my garden does. this review was collected as part of a promotion, and the opinions are my own",2021-07-21,48
12299,Garden,74214,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112134279,Yes,2022-02-22T00:00:00,2022,2,8,Great for all your needs!,This potting mix is a much better mix than your standard mix you would get at your hardware store. They provide great information on when to repot and how much soil is needed for the pot size. The ingredients match what you would consider buying elsewhere but at a much better deal. I highly recommend for you upcoming landscaping needs this season. I received product reimbursement in exchange for my honest review.,organic reviews,11.97,5,0,0,0,No,this potting mix is a much better mix than your standard mix you would get at your hardware store. they provide great information on when to repot and how much soil is needed for the pot size. the ingredients match what you would consider buying elsewhere but at a much better deal. i highly recommend for you upcoming landscaping needs this season. i received product reimbursement in exchange for my honest review.,2022-02-22,72
12521,Garden,74436,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112490018,Yes,2022-02-22T00:00:00,2022,2,8,Potting mix review,Expert gardener potting mix was purchased to repot my existing indoor plants that looked neglected. The potting mix was slightly dry and looked like it would hold moisture well. Instructions on the bag were helpful. I received product reimbursement in exchange for my honest review.,organic reviews,7.48,5,0,0,0,No,expert gardener potting mix was purchased to repot my existing indoor plants that looked neglected. the potting mix was slightly dry and looked like it would hold moisture well. instructions on the bag were helpful. i received product reimbursement in exchange for my honest review.,2022-02-22,45
7653,Garden,67525,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112134279,No,2021-07-21T00:00:00,2021,7,29,Good soil,"This soil feels soft and moist and smells very earthy. The potting mix feeds your plants for up to 6 months. Unlike some mixes that sometimes contains rocks and other miscellaneous things that dont belong this product has very clean soil. This review was collected as part of a promotion, and the opinions are my own.",organic reviews,3.0,4,0,0,0,Yes,"this soil feels soft and moist and smells very earthy. the potting mix feeds your plants for up to 6 months. unlike some mixes that sometimes contains rocks and other miscellaneous things that dont belong this product has very clean soil. this review was collected as part of a promotion, and the opinions are my own.",2021-07-21,56
12327,Garden,74242,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112134279,Yes,2022-02-24T00:00:00,2022,2,8,Initial quality seems good,"Expert Gardener potting mix is a soil and food in one, and while I have no idea yet how things will grow in it -- I just got it home today -- the soil looks to be high quality and it was easy to work with. With a money back guarantee good for a year, and Im pleased with the purchase. I received product reimbursement in exchange for my honest review.",organic reviews,11.97,5,0,0,0,No,"expert gardener potting mix is a soil and food in one, and while i have no idea yet how things will grow in it -- i just got it home today -- the soil looks to be high quality and it was easy to work with. with a money back guarantee good for a year, and im pleased with the purchase. i received product reimbursement in exchange for my honest review.",2022-02-24,71
7623,Garden,67495,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112490018,Yes,2021-07-22T00:00:00,2021,7,29,Very good!,"The plant soil is super big and super worth. Its really my go to! This review was collected as part of a promotion, and the opinions are my own",organic reviews,9.97,5,0,0,0,Yes,"the plant soil is super big and super worth. its really my go to! this review was collected as part of a promotion, and the opinions are my own",2021-07-22,29
28311,Garden,150223,"Expert Gardener Tomato & Vegetable Garden Plant Food Fertilizer 12-10-5, 10 lbs.",https://www.walmart.com//ip/Expert-Gardener-Tomato-Vegetable-Garden-Plant-Food-12-10-5-Fertilizer-10-lbs/381276552?selected=true,Walmart,ExpertGardener,381276552,920467930,Yes,2022-06-22T00:00:00,2022,6,25,Another plant food product..,"I have not compared the efficacy of this plant food against other brands. So, I can not say anything good or bad.",organic reviews,9.26,3,0,0,0,No,"i have not compared the efficacy of this plant food against other brands. so, i can not say anything good or bad.",2022-06-22,22
7835,Garden,67707,"Expert Gardener Rose Plant Food Fertilizer 12-6-10, 10 lbs.",https://www.walmart.com//ip/Expert-Gardener-Rose-Plant-Food-Fertilizer-12-6-10-10-lbs/805949603?selected=true,Walmart,ExpertGardener,805949603,805949603,Yes,2021-06-30T00:00:00,2021,6,26,Have used for years,Very pleased,organic reviews,4.92,5,0,0,0,No,very pleased,2021-06-30,2
8230,Garden,68102,Expert Gardener Sun & Shade Grass Seed Southern Mix; 3 lb.,https://www.walmart.com//ip/Expert-Gardener-Sun-Shade-Grass-Seed-Southern-Mix-3-lb/274168974?selected=true,Walmart,ExpertGardener,274168974,484325100,No,2021-06-15T00:00:00,2021,6,24,Its a go!!,"Day 4, grass is coming in! Yes!",organic reviews,7.97,5,0,0,0,No,"day 4, grass is coming in! yes!",2021-06-15,7
