,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,sentiment,efficient,effective,cost,ease of use,sentiment_m,cost_m,efficient_m,effective_m,ease of use_m,max,align_type,other_m
0,Garden,72720,Expert Gardener Citrus Plant Food Fertilizer 6-4-6; 10 lbs.,https://www.walmart.com//ip/Expert-Gardener-Citrus-Plant-Food-Fertilizer-6-4-6-10-lbs/587336041?selected=true,Walmart,ExpertGardener,587336041,870632402,Yes,2022-01-29 0:00:00,2022,1,4,,this is a great fertilizer. I used it on my Florida orange tree and really helped make the oranges sweet and juicy.I received product reimbursement in exchange for my honest review.,organic reviews,9.26,5,0,0,0,No,this is a great fertilizer. i used it on my florida orange tree and really helped make the oranges sweet and juicy.i received product reimbursement in exchange for my honest review.,2022-01-29,Positive,1.0,1.0,0.0,0.0,positive,,efficient,effective,,0.9979714751243591,"('', 'efficient', 'effective', '', '')",
1,Garden,67877,"Expert Gardener Weed & Feed Lawn Fertilizer & Weed Control, Covers 15,000 sq. ft.",https://www.walmart.com//ip/Expert-Gardener-Weed-Feed-Lawn-Fertilizer-Weed-Control-Covers-15-000-sq-ft/935904830?selected=true,Walmart,ExpertGardener,935904830,603561302,No,2021-08-30 0:00:00,2021,8,35,inconsistent and does burn the lawn,"it did burn my grass quite a bit. this formula is not consistent, I used 2 bags and one of the bags did burn my lawn while the other worked just fine. i did follow all the instructions on the label. the only pro is its cheap.",organic reviews,38.74,2,0,0,0,No,"it did burn my grass quite a bit. this formula is not consistent, i used 2 bags and one of the bags did burn my lawn while the other worked just fine. i did follow all the instructions on the label. the only pro is its cheap.",2021-08-30,Negative,0.0,0.0,1.0,0.0,negative,cost,,,,0.9731891751289368,"('cost', '', '', '', '')",
2,Garden,68127,"Expert Gardener Sun & Shade Grass Seed Northern Mix, for Sun to Partial Shade; 20 lbs.",https://www.walmart.com//ip/Expert-Gardener-Sun-Shade-Grass-Seed-Northern-Mix-for-Sun-to-Partial-Shade-20-lbs/108037091?selected=true,Walmart,ExpertGardener,108037091,660854953,No,2021-07-07 0:00:00,2021,7,27,Good Sun and shade grass mix,"Delighted to have it germinate in our very shaded yards,4,200 ft elevation. Area planted last Fall wintered over in the snow and looked very nice this Spring, so we bought a second bag.",organic reviews,39.92,5,0,0,0,No,"delighted to have it germinate in our very shaded yards,4,200 ft elevation. area planted last fall wintered over in the snow and looked very nice this spring, so we bought a second bag.",2021-07-07,Positive,1.0,1.0,0.0,0.0,positive,,efficient,effective,,0.98587566614151,"('', 'efficient', 'effective', '', '')",
3,Garden,67690,"Expert Gardener All-Purpose Plant Food Fertilizer 12-5-7, 10 lbs.",https://www.walmart.com//ip/Expert-Gardener-All-Purpose-Plant-Food-Fertilizer-12-5-7-10-lbs/652878366?selected=true,Walmart,ExpertGardener,652878366,515383298,No,2021-07-31 0:00:00,2021,7,30,Th only plant food you need.,"I found Expert All-Purpose plant food to have a nice consistency of the various graduals. I like that I can use the same product for my flowers as I do my fruits and vegetables. This review was collected as part of a promotion, and the opinions are my own.",organic reviews,9.77,5,0,0,0,Yes,"i found expert all-purpose plant food to have a nice consistency of the various graduals. i like that i can use the same product for my flowers as i do my fruits and vegetables. this review was collected as part of a promotion, and the opinions are my own.",2021-07-31,Positive,1.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9917846322059631,"('', 'efficient', 'effective', 'ease of use', '')",
4,Garden,74194,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112134279,Yes,2022-02-23 0:00:00,2022,2,8,Nice potting mix,"This potting soil seems to be a nice mix with nutrients for my plants. this bag will fill a 12 inch pot nicely. thos miz contains compost, forest products, sphagnum peat moss and pearlite. i like the texture and weight of the mix. I cant wait to see how large and beautiful my plant will grow using this soil.I received product reimbursement in exchange for my honest review",organic reviews,11.97,4,0,0,0,No,"this potting soil seems to be a nice mix with nutrients for my plants. this bag will fill a 12 inch pot nicely. thos miz contains compost, forest products, sphagnum peat moss and pearlite. i like the texture and weight of the mix. i cant wait to see how large and beautiful my plant will grow using this soil.i received product reimbursement in exchange for my honest review",2022-02-23,Neutral,0.0,0.0,0.0,1.0,positive,,efficient,effective,,0.975942075252533,"('', 'efficient', 'effective', '', '')",
5,Garden,74411,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 1 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-1-cu-ft-Bag/112490018?selected=true,Walmart,ExpertGardener,112490018,112490018,Yes,2022-02-24 0:00:00,2022,2,8,Great Potting Mix,"I am impressed with this potting mix. I did just use it today, so my hope itll do as promised, but it was easy to use and the smell was quite mild. A big bonus is that it feeds plants (both indoor and outdoor) for six months, as well. (Disclaimer: I received product reimbursement in exchange for my honest review).",organic reviews,7.48,4,0,0,0,No,"i am impressed with this potting mix. i did just use it today, so my hope itll do as promised, but it was easy to use and the smell was quite mild. a big bonus is that it feeds plants (both indoor and outdoor) for six months, as well. (disclaimer: i received product reimbursement in exchange for my honest review).",2022-02-24,Positive,1.0,1.0,0.0,1.0,positive,,efficient,effective,ease of use,0.9953880310058594,"('', 'efficient', 'effective', 'ease of use', '')",
6,Garden,67540,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112490018,Yes,2021-08-21 0:00:00,2021,8,33,DO NOT BUY!!,I usually buy Miracle Gro soil but decided to give this a try to repot my plant. The plant died after using this soil. Every time it rains the pot leeches dark brown on the concrete sidewalk. I moved it to see where it was coming from and it was the pot with this soil in it. I will never buy this again. DO NOT BUY,organic reviews,9.97,1,0,0,0,No,i usually buy miracle gro soil but decided to give this a try to repot my plant. the plant died after using this soil. every time it rains the pot leeches dark brown on the concrete sidewalk. i moved it to see where it was coming from and it was the pot with this soil in it. i will never buy this again. do not buy,2021-08-21,Negative,0.0,0.0,0.0,0.0,negative,cost,efficient,effective,,0.9592423439025879,"('cost', 'efficient', 'effective', '', '')",
7,Garden,120232,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,ExpertGardener,114494649,114494649,Yes,2022-05-08 0:00:00,2022,5,18,Not potting mix,This stuff was closer to shredded top soil than it was to potting mix. In case you cant see in the picture it has mulch sized bark all through it.,organic reviews,4.74,1,0,0,0,No,this stuff was closer to shredded top soil than it was to potting mix. in case you cant see in the picture it has mulch sized bark all through it.,2022-05-08,Neutral,0.0,0.0,0.0,0.0,neutral,,,,,0.4914799630641937,"('', '', '', '', 'other')",other
8,Garden,67473,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112490018,Yes,2021-10-05 0:00:00,2021,10,40,Bugs!,Loaded with gnats. Cheap garbage.,organic reviews,9.97,1,0,0,0,No,loaded with gnats. cheap garbage.,2021-10-05,Negative,0.0,0.0,0.0,0.0,negative,cost,,,,0.9084885716438293,"('cost', '', '', '', '')",
9,Garden,74332,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,ExpertGardener,114494649,112490018,Yes,2022-02-23 0:00:00,2022,2,8,Quality potting mix=happy houseplants,"I used this soil to change out my current houseplants. So far, so good. It is great nutrients at an affordable price. It really does make a difference to repot plants every ox months or so. Im happy I found this affordable mix. I received product reimbursement in exchange for my honest review.",organic reviews,3.93,5,0,0,0,No,"i used this soil to change out my current houseplants. so far, so good. it is great nutrients at an affordable price. it really does make a difference to repot plants every ox months or so. im happy i found this affordable mix. i received product reimbursement in exchange for my honest review.",2022-02-23,Positive,0.0,1.0,1.0,0.0,positive,cost,efficient,effective,ease of use,0.998591959476471,"('cost', 'efficient', 'effective', 'ease of use', '')",
