,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,efficient,effective,cost,ease of use,sentiment_m,cost_m,efficient_m,effective_m,ease of use_m,max,align_type,other_m
0,Garden,77059,MOSS OUT! Spot Treater For Lawns & Flower Beds 5 lb Granules,http://www.homedepot.com/p/314752274,Homedepot,MossOut,314752274,314752274,No,2022-03-18 0:00:00,2022,3,11,Vert very impressed,"[This review was collected as part of a promotion.] Very impressed and how fast and how good it works to get rid of moss, I used this on my flower bed and it worked great! I totally recommend it!",syndicated reviews,14.97,5,0,0,0,Yes,"[this review was collected as part of a promotion.] very impressed and how fast and how good it works to get rid of moss, i used this on my flower bed and it worked great! i totally recommend it!",2022-03-18,39,Positive,1.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9982801079750061,"('', 'efficient', 'effective', 'ease of use', 'effective')",
1,Garden,80004,MOSS OUT! For Lawns 20 lb Granules,https://www.amazon.com/dp/B0015HZIT0,Amazon,MossOut,B0015HZIT0,B0015HZIT0,No,2022-04-07 0:00:00,2022,4,14,Moss wiped out!,I used this product in the middle Tennessee area back at the beginning of February. It legit killed.all the moss in my yard. I was able to lay some seed down and now its April and my lawn looks amazing. The moss is dead a few hours after you water the ground after applying. Next get your rake out and start getting that dead moss out. Then lay your seed. I will definitely buy again if I need it in the future.,organic reviews,14.97,5,0,0,0,No,i used this product in the middle tennessee area back at the beginning of february. it legit killed.all the moss in my yard. i was able to lay some seed down and now its april and my lawn looks amazing. the moss is dead a few hours after you water the ground after applying. next get your rake out and start getting that dead moss out. then lay your seed. i will definitely buy again if i need it in the future.,2022-04-07,82,Positive,1.0,1.0,0.0,0.0,positive,cost,efficient,effective,ease of use,0.9988678693771362,"('cost', 'efficient', 'effective', 'ease of use', 'effective')",
2,Garden,140064,MOSS OUT! For Roofs & Walks 27 oz. Ready To Spray,https://www.amazon.com.com/dp/B000SKZ1QK,Amazon,MossOut,B000SKZ1QK,B000SKZ1QK,No,2022-06-03 0:00:00,2022,6,22,Works fast,Ive used this product multiple times and am amazed at how fast it eliminates the moss on my shingles. I would highly recommend this product.,organic reviews,0.0,5,0,0,0,No,ive used this product multiple times and am amazed at how fast it eliminates the moss on my shingles. i would highly recommend this product.,2022-06-03,25,Positive,1.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9969481229782104,"('', 'efficient', 'effective', 'ease of use', 'effective')",
3,Garden,9724,MOSS OUT! For Roofs & Structures 6 lb Granules,http://www.homedepot.com/p/t/100484120,Homedepot,MossOut,100484120,100484120,No,2021-10-05 0:00:00,2021,10,40,Every Fall I have to apply Moss Out to my...,Every Fall I have to apply Moss Out to my roof. I prefer this size container of Moss Out to the smaller containers of the same product. It eliminates having to drive back and forth to town to get more of this product should I run out of it. Home Depot is the only place in my area that sells this size container of Moss Out.,organic reviews,21.88,5,0,0,0,No,every fall i have to apply moss out to my roof. i prefer this size container of moss out to the smaller containers of the same product. it eliminates having to drive back and forth to town to get more of this product should i run out of it. home depot is the only place in my area that sells this size container of moss out.,2021-10-05,66,Neutral,0.0,0.0,0.0,0.0,neutral,cost,efficient,effective,ease of use,0.9943521022796631,"('cost', 'efficient', 'effective', 'ease of use', 'effective')",
4,Garden,73497,Moss Out! Lawn Granules 20-lb Moss Control,https://www.lowes.com/pd/Moss-Out-20-lb-Moss-Control/3556974,Lowes,MossOut,3556974,3556974,No,2022-02-09 0:00:00,2022,2,6,awesome!,[This review was collected as part of a promotion.] My dad used this product on our lawn and it has never looked better! Its amazing! I would definitely recommend,syndicated reviews,15.88,5,0,0,0,Yes,[this review was collected as part of a promotion.] my dad used this product on our lawn and it has never looked better! its amazing! i would definitely recommend,2022-02-09,29,Positive,1.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9969988465309143,"('', 'efficient', 'effective', 'ease of use', 'effective')",
5,Garden,70139,MOSS OUT! For Roofs & Structures 6 lb Granules,http://www.homedepot.com/p/100484120,Homedepot,MossOut,100484120,100484120,No,2021-12-17 0:00:00,2021,12,50,This is the best. It works if there is rain...,This is the best. It works if there is rain or sunshine.,organic reviews,21.88,5,0,0,0,No,this is the best. it works if there is rain or sunshine.,2021-12-17,12,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,ease of use,0.9980065226554871,"('', 'efficient', 'effective', 'ease of use', 'effective')",
6,Garden,130336,MOSS OUT! For Lawns 20 lb Granules,http://www.homedepot.com/p/100598516,Homedepot,MossOut,100598516,100598516,Yes,2022-05-15 0:00:00,2022,5,19,Excellent. Killed all the moss....,Excellent. Killed all the moss.,organic reviews,19.39,5,0,0,0,No,excellent. killed all the moss.,2022-05-15,5,Positive,0.0,1.0,0.0,0.0,positive,,efficient,effective,,0.99626624584198,"('', 'efficient', 'effective', '', 'effective')",
7,Garden,70740,MOSS OUT! Spot Treater For Lawns & Flower Beds 5 lb Granules,https://www.lowes.com/pd/Moss-Out-Moss-Out-Spot-Treater-Canister-5lb/5000207593,Lowes,MossOut,5000207593,5000207593,No,2021-12-19 0:00:00,2021,12,50,not able to use,[This review was collected as part of a promotion.] I wish Ive couldve been able to use this however I have no moss in any flowerbeds or my lawn. I only have moss on my roof and I do not think that I would have been able to use this on my roof. Pretty sure when I did the survey for this I clicked I only had moss on my roof.?,syndicated reviews,12.97,3,0,0,0,Yes,[this review was collected as part of a promotion.] i wish ive couldve been able to use this however i have no moss in any flowerbeds or my lawn. i only have moss on my roof and i do not think that i would have been able to use this on my roof. pretty sure when i did the survey for this i clicked i only had moss on my roof.?,2021-12-19,71,Negative,0.0,0.0,0.0,0.0,negative,,,,,0.6842921376228333,"('', '', '', '', 'cost')",other
8,Garden,66561,MOSS OUT! For Roofs & Structures 6 lb Granules,https://www.walmart.com//ip/Lilly-Miller-Moss-Out-Economical-Concentrate-for-Roofs-Moss-Killer-6-lbs/16795013?selected=true,Walmart,MossOut,16795013,16795013,No,2021-11-18 0:00:00,2021,11,46,not too bad,[This review was collected as part of a promotion.] Not too bad definitely worth a try! I have to see if it will come back or not but so far so good.,organic reviews,21.88,4,0,0,0,Yes,[this review was collected as part of a promotion.] not too bad definitely worth a try! i have to see if it will come back or not but so far so good.,2021-11-18,32,Neutral,0.0,0.0,0.0,0.0,positive,,efficient,effective,,0.9846349358558655,"('', 'efficient', 'effective', '', 'effective')",
9,Garden,70791,MOSS OUT! For Lawns 20 lb Granules,https://www.walmart.com//ip/Lilly-Miller-Moss-Out-for-Lawns-With-10-Iron-20lb-Bag-Covers-5-000-sq-ft/16795015?selected=true,Walmart,MossOut,16795015,16795015,No,2021-12-20 0:00:00,2021,12,51,we have moss that needs to go,[This review was collected as part of a promotion.] There is a good amount of moss growth in our back yard where outnlawn is in the shade. My husband laid some out last weekend when it was warm. But then we had a windy night a few days later which probably took some granules away. We have noticed a minor change but it looks like it is working. My husband will lay more out to get more moss to die. The picture is of when we first laid it out.,organic reviews,14.97,3,0,0,0,Yes,[this review was collected as part of a promotion.] there is a good amount of moss growth in our back yard where outnlawn is in the shade. my husband laid some out last weekend when it was warm. but then we had a windy night a few days later which probably took some granules away. we have noticed a minor change but it looks like it is working. my husband will lay more out to get more moss to die. the picture is of when we first laid it out.,2021-12-20,90,Neutral,0.0,1.0,0.0,0.0,positive,,efficient,effective,,0.99195396900177,"('', 'efficient', 'effective', '', 'effective')",
