,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,sentiment,affordability_m,quality_m,complaints_m,satisfaction_m,delivery_m,ease of use_m,cost_m,efficient_m,functionality_m,cheap_m,expensive_m,effective_m,faulty_m,defective_m,max,align_type
18596,Garden,120232,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,ExpertGardener,114494649,114494649,Yes,2022-05-08T00:00:00,2022,5,18,Not potting mix,This stuff was closer to shredded top soil than it was to potting mix. In case you cant see in the picture it has mulch sized bark all through it.,organic reviews,4.74,1,0,0,0,No,this stuff was closer to shredded top soil than it was to potting mix. in case you cant see in the picture it has mulch sized bark all through it.,2022-05-08,Neutral,0.03885725513100624,0.0029913545586168766,0.1290380358695984,0.01350684929639101,0.01844804733991623,0.007121087517589331,0.441552072763443,0.054335325956344604,0.08542637526988983,0.018545329570770264,0.03233589231967926,0.4914799630641937,0.9000344276428223,0.9653400778770447,0.9653400778770447,defective
7636,Garden,67508,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112490018,Yes,2021-06-18T00:00:00,2021,6,24,Root rot,"This mix would be better suited to a garden than a pot. It retains moisture to the point that several of my plants have died of root rot. I am a seasoned gardener, and all of my pots have adequate drainage. I should have spent the extra money on Miracle Gro.",organic reviews,9.97,3,0,0,0,No,"this mix would be better suited to a garden than a pot. it retains moisture to the point that several of my plants have died of root rot. i am a seasoned gardener, and all of my pots have adequate drainage. i should have spent the extra money on miracle gro.",2021-06-18,Negative,0.10306663066148758,0.023472459986805916,0.46815526485443115,0.01883249171078205,0.039035338908433914,0.0024159227032214403,0.687388002872467,0.02347293682396412,0.2065906524658203,0.06485435366630554,0.7197962403297424,0.07284361124038696,0.9938925504684448,0.9862943887710571,0.9938925504684448,faulty
28249,Garden,150161,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,ExpertGardener,114494649,114494649,Yes,2022-05-22T00:00:00,2022,5,20,,was not soil looked more like mulch,organic reviews,4.74,1,0,0,0,No,was not soil looked more like mulch,2022-05-22,Negative,0.054269157350063324,0.019587790593504906,0.08040901273488998,0.00423179566860199,0.0042524272575974464,0.04431565850973129,0.017517611384391785,0.07046409696340561,0.0041141388937830925,0.13946615159511566,0.252767413854599,0.13638846576213837,0.9665140509605408,0.9784146547317505,0.9784146547317505,defective
8218,Garden,68090,Expert Gardener Sun & Shade Grass Seed Southern Mix; 7 lb.,https://www.walmart.com/ip/Expert-Gardener-Sun-Shade-Grass-Seed-Southern-Mix-7-lb/484325100,Walmart,ExpertGardener,484325100,274168974,No,2021-06-10T00:00:00,2021,6,23,Negative,It doesnt work very well It states heat resistant but where it has come up it has already turned brown.,organic reviews,14.96,1,0,0,0,No,it doesnt work very well it states heat resistant but where it has come up it has already turned brown.,2021-06-10,Negative,0.010159080848097801,0.004035708028823137,0.9716070890426636,0.008483117446303368,0.3187633156776428,0.00028738047694787383,0.6043824553489685,0.0007384983473457396,0.1666032075881958,0.008964254520833492,0.527769923210144,0.001236522221006453,0.9971297979354858,0.9976763129234314,0.9976763129234314,defective
7605,Garden,67477,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,ExpertGardener,112134279,112490018,Yes,2021-06-08T00:00:00,2021,6,23,Half is Mulch and Covered in Mushrooms,"This had mushrooms around the edges from built up moisture and half of it was mulch so my window garden bed has big pieces of wood chips throughout it. I didnt think it would be too bad at first, but its getting annoying the more I sift through it with my hands. Theres little green balls that look like beads of plastic, but I couldnt find anywhere on the bag where it explained what these were.",organic reviews,9.97,1,0,0,0,No,"this had mushrooms around the edges from built up moisture and half of it was mulch so my window garden bed has big pieces of wood chips throughout it. i didnt think it would be too bad at first, but its getting annoying the more i sift through it with my hands. theres little green balls that look like beads of plastic, but i couldnt find anywhere on the bag where it explained what these were.",2021-06-08,Negative,0.06145839765667915,0.0013133820611983538,0.3308371901512146,0.006285042967647314,0.01601249724626541,0.0006179000483825803,0.1385175883769989,0.0012889003846794367,0.04740253835916519,0.006358359940350056,0.050719622522592545,0.08337248861789703,0.6863107085227966,0.39998409152030945,0.6863107085227966,faulty
7854,Garden,67726,Expert Gardener Flower Plant Food Fertilizer 10-10-10; 10 lbs.,https://www.walmart.com//ip/Expert-Gardener-Flower-Plant-Food-Fertilizer-10-10-10-10-lbs/437693217?selected=true,Walmart,ExpertGardener,437693217,170461335,No,2021-06-13T00:00:00,2021,6,23,i would not recommend,Burned my flowers. the concentration of fertilizer is too harsh on not well established plants.,organic reviews,7.86,1,0,0,0,No,burned my flowers. the concentration of fertilizer is too harsh on not well established plants.,2021-06-13,Negative,0.03839178383350372,0.008337120525538921,0.8724951148033142,0.007863545790314674,0.08626630157232285,0.00033016761881299317,0.6330335140228271,0.001126592978835106,0.10667715221643448,0.005972778890281916,0.595518946647644,0.01660114899277687,0.9634307622909546,0.9762865304946899,0.9762865304946899,defective
15299,Garden,90583,"Expert Gardener Lawn Weed Control II Granule Herbicide, Covers 5,000 sq. ft.",https://www.walmart.com//ip/Expert-Gardener-Lawn-Weed-Control-II-Granule-Herbicide-Covers-5-000-sq-ft/55283719?selected=true,Walmart,ExpertGardener,55283719,55283719,No,2022-04-11T00:00:00,2022,4,15,Priduced too Much Dust. How safe is this product?,This product produced a lot of powder or dust as it was applied to the lawn. I wore a mask for most of the time I was using it. But I questioned how safe is this to use. I am sorry I bought and used it. I already had cancer 20 years ago. Unfortunately I did not read the instructions thoroughly and wore my clothes all day. Luckily I always backed away and never walked forward through the dust. I will never buy this again because of that. I used a handheld broadcast spreader but I believe it would produce dust if it was used in one that rolls on the ground. And I spread it by hand using the scoop for more than half the bag. Walmart was out of the Weed and Feed and that is the only reason I bought this. Their weed and feed is a good ...,organic reviews,9.92,1,0,0,0,No,this product produced a lot of powder or dust as it was applied to the lawn. i wore a mask for most of the time i was using it. but i questioned how safe is this to use. i am sorry i bought and used it. i already had cancer 20 years ago. unfortunately i did not read the instructions thoroughly and wore my clothes all day. luckily i always backed away and never walked forward through the dust. i will never buy this again because of that. i used a handheld broadcast spreader but i believe it would produce dust if it was used in one that rolls on the ground. and i spread it by hand using the scoop for more than half the bag. walmart was out of the weed and feed and that is the only reason i bought this. their weed and feed is a good ...,2022-04-11,Negative,0.07219678908586502,0.09406305104494095,0.5755780935287476,0.03690057620406151,0.08247619867324829,0.021649803966283798,0.6459783911705017,0.14076170325279236,0.2763308584690094,0.1928655505180359,0.25949200987815857,0.21980224549770355,0.9528780579566956,0.9250197410583496,0.9528780579566956,faulty
7830,Garden,67702,"Expert Gardener All-Purpose Plant Food Fertilizer 12-5-7, 10 lbs.",https://www.walmart.com//ip/Expert-Gardener-All-Purpose-Plant-Food-Fertilizer-12-5-7-10-lbs/652878366?selected=true,Walmart,ExpertGardener,652878366,515383298,No,2021-07-31T00:00:00,2021,7,30,Great plant food,Just started using this product so not sure yet how well it works but with whats in it I am sure it will. This review is part of a promotion and the views and opinions are my own.,organic reviews,9.77,4,0,0,0,Yes,just started using this product so not sure yet how well it works but with whats in it i am sure it will. this review is part of a promotion and the views and opinions are my own.,2021-07-31,Positive,0.20273806154727936,0.6808692812919617,0.023015236482024193,0.4558558166027069,0.2460896521806717,0.5698500275611877,0.29379716515541077,0.13953366875648499,0.6444771885871887,0.35575926303863525,0.07731331139802933,0.10982035845518112,0.010379504412412643,0.0012657202314585447,0.6808692812919617,quality
28251,Garden,150163,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 8 qt. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-8-qt-Bag/114494649?selected=true,Walmart,ExpertGardener,114494649,114494649,Yes,2022-05-16T00:00:00,2022,5,20,Not for small pots. Too many large wood pieces.,Its mulch with some dirt added. So many large twigs and bark it was not suitable for my small pots. It was raining when I bought it so the bags were wet. When I got it home it was leaking brown and hot all over me. I smelled like manure. I wasnt expecting this from a potting soil. I guess MIX should have been a clue,organic reviews,4.74,1,0,0,0,No,its mulch with some dirt added. so many large twigs and bark it was not suitable for my small pots. it was raining when i bought it so the bags were wet. when i got it home it was leaking brown and hot all over me. i smelled like manure. i wasnt expecting this from a potting soil. i guess mix should have been a clue,2022-05-16,Negative,0.015327462926506996,0.02593971975147724,0.800755500793457,0.018144449219107628,0.2776358723640442,0.0002689395332708955,0.3458779454231262,0.01116578932851553,0.12628671526908875,0.014829374849796295,0.16711631417274475,0.2590579688549042,0.9705076217651367,0.9554054141044617,0.9705076217651367,faulty
8257,Garden,68129,"Expert Gardener Sun & Shade Grass Seed Northern Mix, for Sun to Partial Shade; 20 lbs.",https://www.walmart.com//ip/Expert-Gardener-Sun-Shade-Grass-Seed-Northern-Mix-for-Sun-to-Partial-Shade-20-lbs/108037091?selected=true,Walmart,ExpertGardener,108037091,660854953,No,2021-08-12T00:00:00,2021,8,32,Not the seed mix I want for my yard!,"Website doesnt show the seed listing. package arrived and 35.25% is RYEGRASS and only 5% is""WILDHORSE KENTUCKY BLUEGRASS and 7% SURVIVOR CHEWINGS FESCUE??? All in all only 46% seed and less than 12% long term grass I would like to have in my yard.",organic reviews,39.92,1,0,0,0,No,"website doesnt show the seed listing. package arrived and 35.25% is ryegrass and only 5% is""wildhorse kentucky bluegrass and 7% survivor chewings fescue??? all in all only 46% seed and less than 12% long term grass i would like to have in my yard.",2021-08-12,Negative,0.15130402147769928,0.12606894969940186,0.5285385847091675,0.179652601480484,0.9454455971717834,0.08483878523111343,0.5827931761741638,0.08073663711547852,0.15134386718273163,0.10183177888393402,0.4116036593914032,0.45609214901924133,0.942451000213623,0.9087240099906921,0.9454455971717834,delivery
