,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,sentiment,affordability_m,quality_m,complaints_m,satisfaction_m,delivery_m,ease of use_m,cost_m,efficient_m,functionality_m,cheap_m,expensive_m,effective_m,faulty_m,defective_m,max,align_type
1558,Garden,9733,MOSS OUT! For Roofs & Structures 6 lb Granules ,http://www.homedepot.com/p/t/100484120,Homedepot,MossOut,100484120,100484120,No,2021-11-22T00:00:00,2021,11,47,only good for low-pitch roof,"This product are granules. dont stick to asphalt shingles. I have 30d roof angle and when I used them at the top they scattered and bounced off to the bottom.  i tried to to use a spray tank but the granules do not melt in water well, formed solid blocks",organic reviews,21.88,2,0,0,0,No,"this product are granules. dont stick to asphalt shingles. i have 30d roof angle and when i used them at the top they scattered and bounced off to the bottom.  i tried to to use a spray tank but the granules do not melt in water well, formed solid blocks",2021-11-22,Negative,0.21093718707561493,0.29749390482902527,0.8487505316734314,0.11335332691669464,0.07172790914773941,0.00952059868723154,0.674261748790741,0.017030827701091766,0.41417911648750305,0.10901889950037003,0.3119660019874573,0.0431269146502018,0.985826313495636,0.9940855503082275,0.9940855503082275,defective
1591,Garden,10371,MOSS OUT! For Lawns 20 lb Granules ,http://www.homedepot.com/p/t/100598516,Homedepot,MossOut,100598516,100598516,No,2021-06-19T00:00:00,2021,6,24,stains,Probaby my fault for not reading. Asked a rep at HD if this was safe to use for paver paths. Clearly it is not. Solid orange stains now,organic reviews,18.97,1,0,0,0,No,probaby my fault for not reading. asked a rep at hd if this was safe to use for paver paths. clearly it is not. solid orange stains now,2021-06-19,Negative,0.09473282098770142,0.0022354223765432835,0.36268454790115356,0.027775797992944717,0.09794410318136215,0.006702381651848555,0.6104951500892639,0.0030374592170119286,0.07109827548265457,0.07854527235031128,0.5280501246452332,0.0010893353028222919,0.9930793046951294,0.9954367876052856,0.9954367876052856,defective
11842,Garden,73505,Moss Out! Spot treater 5-lb Moss Control,https://www.lowes.com/pd/Moss-Out-Moss-Out-Spot-Treater-Canister-5lb/5000207593,Lowes,MossOut,5000207593,5000207593,No,2022-02-16T00:00:00,2022,2,7,idk,"[This review was collected as part of a promotion.] I dont know if I did it wrong, if its taking long or if its just not working for me. Seemed pretty straight forward but it isnt treating the areas Ive applied it to.",syndicated reviews,14.98,3,0,0,0,Yes,"[this review was collected as part of a promotion.] i dont know if i did it wrong, if its taking long or if its just not working for me. seemed pretty straight forward but it isnt treating the areas ive applied it to.",2022-02-16,Negative,0.4191977381706238,0.3860669434070587,0.23419760167598724,0.32568803429603577,0.39010146260261536,0.6893474459648132,0.4934140145778656,0.016289975494146347,0.48175615072250366,0.14433591067790985,0.33220037817955017,0.0046647521667182446,0.894416332244873,0.9313861727714539,0.9313861727714539,defective
16475,Garden,110049,MOSS OUT! For Roofs & Walks 27 oz. Ready To Spray,https://www.amazon.com/dp/B000SKZ1QK,Amazon,MossOut,B000SKZ1QK,B000SKZ1QK,No,2022-04-29T00:00:00,2022,4,17,Worked fairly well on roof,"Decent job , no where near the coverage advertised",organic reviews,16.97,3,0,0,0,No,"decent job , no where near the coverage advertised",2022-04-29,Negative,0.14292319118976593,0.21130308508872986,0.3453717529773712,0.02491951733827591,0.19614794850349426,0.030698176473379135,0.5102683901786804,0.08964679390192032,0.05539054796099663,0.25153428316116333,0.059867680072784424,0.10999895632266998,0.9256828427314758,0.472208708524704,0.9256828427314758,faulty
96,Garden,805,MOSS OUT! For Lawns 20 lb Granules ,https://www.amazon.com/dp/B0015HZIT0,Amazon,MossOut,B0015HZIT0,B0015HZIT0,No,2021-11-17T00:00:00,2021,11,46,Did absolutely NOTHING to the moss.,"I applied as directed, dialed in the spreader to the specified number and now a week later, the moss is still as green and thriving. Absolutely no browning of the moss. I have a Scott AccuGreen 1000 spreader (had it for years) so I do know how to dial it in. I dont understand how this did not work in the least.",organic reviews,14.97,1,0,0,0,No,"i applied as directed, dialed in the spreader to the specified number and now a week later, the moss is still as green and thriving. absolutely no browning of the moss. i have a scott accugreen 1000 spreader (had it for years) so i do know how to dial it in. i dont understand how this did not work in the least.",2021-11-17,Neutral,0.28876441717147827,0.8852671384811401,0.06675572693347931,0.274645060300827,0.29920676350593567,0.09380844235420227,0.38407695293426514,0.14322683215141296,0.6642699837684631,0.14117377996444702,0.26969388127326965,0.5496839284896851,0.8718245625495911,0.49987027049064636,0.8852671384811401,quality
14169,Garden,79386,MOSS OUT! For Lawns 20 lb Granules ,https://www.lowes.com/pd/Moss-Out-20-lb-Moss-Control/3556974,Lowes,MossOut,3556974,3556974,No,2022-03-31T00:00:00,2022,3,13,What changed? The birds wont touch our lawn after applying,"Use this to get rid of moss which i did, but something changed in the product as this year the birds and squirrels are avoiding our lawn since the application. What has changed in the product? Really kind of scary!",syndicated reviews,15.88,1,0,0,0,No,"use this to get rid of moss which i did, but something changed in the product as this year the birds and squirrels are avoiding our lawn since the application. what has changed in the product? really kind of scary!",2022-03-31,Negative,0.026328548789024353,0.5274019837379456,0.5497572422027588,0.026669761165976524,0.06017056107521057,0.002780911512672901,0.16909465193748474,0.033488597720861435,0.40148210525512695,0.22239327430725098,0.3080868721008301,0.2726646661758423,0.37176719307899475,0.033056288957595825,0.5497572422027588,complaints
6726,Garden,66564,MOSS OUT! For Lawns 20 lb Granules ,https://www.walmart.com//ip/Lilly-Miller-Moss-Out-for-Lawns-With-10-Iron-20lb-Bag-Covers-5-000-sq-ft/16795015?selected=true,Walmart,MossOut,16795015,16795015,No,2021-11-22T00:00:00,2021,11,47,mehhhh,[This review was collected as part of a promotion.] Are used this in my little lawn beds because I dont have many. It took care of mosque good enough but it also kind of killed my grass so Im not happy,organic reviews,14.97,1,0,0,0,Yes,[this review was collected as part of a promotion.] are used this in my little lawn beds because i dont have many. it took care of mosque good enough but it also kind of killed my grass so im not happy,2021-11-22,Negative,0.05037582665681839,0.15102824568748474,0.39120662212371826,0.012093640863895416,0.23305168747901917,0.06361573934555054,0.4978000521659851,0.05901701748371124,0.44421863555908203,0.29853135347366333,0.25741738080978394,0.283403605222702,0.3841836154460907,0.23312760889530182,0.4978000521659851,cost
14173,Garden,79390,MOSS OUT! For Lawns Granules 40 lb Granules ,https://www.lowes.com/pd/Lilly-Miller-40-lb-Moss-Control/1000342343,Lowes,MossOut,1000342343,1000342343,No,2022-03-31T00:00:00,2022,3,13,What changed? The birds wont touch our lawn after applying,"Use this to get rid of moss which i did, but something changed in the product as this year the birds and squirrels are avoiding our lawn since the application. What has changed in the product? Really kind of scary!",syndicated reviews,27.98,1,0,0,0,No,"use this to get rid of moss which i did, but something changed in the product as this year the birds and squirrels are avoiding our lawn since the application. what has changed in the product? really kind of scary!",2022-03-31,Negative,0.026328548789024353,0.5274019837379456,0.5497572422027588,0.026669761165976524,0.06017056107521057,0.002780911512672901,0.16909465193748474,0.033488597720861435,0.40148210525512695,0.22239327430725098,0.3080868721008301,0.2726646661758423,0.37176719307899475,0.033056288957595825,0.5497572422027588,complaints
180,Garden,1832,MOSS OUT! For Roofs & Walks 27 oz. Ready To Spray,https://www.amazon.com/dp/B000SKZ1QK,Amazon,MossOut,B000SKZ1QK,B000SKZ1QK,No,2021-10-29T00:00:00,2021,10,43,Didnt work for me,"Just didnt work. I sprayed a lot on my roof, and the moss is still there.",organic reviews,0.0,1,0,0,0,No,"just didnt work. i sprayed a lot on my roof, and the moss is still there.",2021-10-29,Negative,0.27362024784088135,0.010421996004879475,0.7983165979385376,0.006086090113967657,0.11916644871234894,0.0020631381776183844,0.6977858543395996,0.001183310174383223,0.0636826753616333,0.046959396451711655,0.5414096117019653,0.0015851317439228296,0.9940338730812073,0.9931519031524658,0.9940338730812073,faulty
16527,Garden,110101,MOSS OUT! Plus Fertilizer For Lawns 20-0-5 20 lb Granules ,http://www.homedepot.com/p/203419243,Homedepot,MossOut,203419243,203419243,No,2022-05-04T00:00:00,2022,5,18,The granules in two of the bags were bound together...,The granules in two of the bags were bound together with an oil-like substance and unusable.,organic reviews,18.48,1,0,0,0,No,the granules in two of the bags were bound together with an oil-like substance and unusable.,2022-05-04,Negative,0.08313650637865067,0.01534846518188715,0.49833327531814575,0.0031580154318362474,0.3836870789527893,0.00027098998543806374,0.6050832271575928,0.0011687210062518716,0.02897617220878601,0.0167479757219553,0.35297873616218567,0.33759286999702454,0.9829942584037781,0.9977224469184875,0.9977224469184875,defective
11837,Garden,73500,Lilly Miller Roofs and Walks 27-oz Concentrated Moss Control,https://www.lowes.com/pd/Moss-Out-27-oz-Concentrate-Moss-Control/3804581,Lowes,MossOut,3804581,3804581,No,2022-02-01T00:00:00,2022,2,5,no use,[This review was collected as part of a promotion.] Im not the type of person who knows how to do gardening so this product is i just sitting in a shelve collecting dust,syndicated reviews,15.78,1,0,0,0,Yes,[this review was collected as part of a promotion.] im not the type of person who knows how to do gardening so this product is i just sitting in a shelve collecting dust,2022-02-01,Negative,0.047108687460422516,0.004407890606671572,0.04511182755231857,0.028491565957665443,0.0019344835309311748,0.013127036392688751,0.2594855725765228,0.00030972223612479866,0.11861971020698547,0.27429571747779846,0.28305622935295105,0.0032204699236899614,0.9295847415924072,0.457326740026474,0.9295847415924072,faulty
16584,Garden,110158,MOSS OUT! Spot Treater For Lawns & Flower Beds 5 lb Granules ,http://www.homedepot.com/p/314752274,Homedepot,MossOut,314752274,314752274,No,2022-04-27T00:00:00,2022,4,17,doesnt work as stated on package...,doesnt work as stated on package,organic reviews,14.97,2,0,0,0,No,doesnt work as stated on package,2022-04-27,Negative,0.5476647019386292,0.04277052730321884,0.7571404576301575,0.00543311657384038,0.8883912563323975,0.0020389354322105646,0.6203333735466003,0.0006691785529255867,0.3333887755870819,0.028352165594697,0.846717894077301,0.0012723514810204506,0.9952151775360107,0.9963133931159973,0.9963133931159973,defective
4827,Garden,53974,MOSS OUT! For Roofs & Walks 27 oz. Liquid Concentrate,https://www.lowes.com/pd/Moss-Out-27-oz-Concentrate-Moss-Control/3804581,Lowes,MossOut,3804581,3804581,No,2021-07-02T00:00:00,2021,7,26,Roof Moss,"Did a great job for first use, but rain came and slowed the process.",organic reviews,14.98,4,0,0,0,No,"did a great job for first use, but rain came and slowed the process.",2021-07-02,Positive,0.13055938482284546,0.8952736854553223,0.22037042677402496,0.018016774207353592,0.3294890522956848,0.4746195375919342,0.30709677934646606,0.06203930079936981,0.5299186706542969,0.11329217255115509,0.08859831839799881,0.6550042033195496,0.014758487232029438,0.004798665642738342,0.8952736854553223,quality
1726,Garden,13620,MOSS OUT! For Roofs & Walks 27 oz. Ready To Spray,http://www.homedepot.com/p/t/100598513,Homedepot,MossOut,100598513,100598513,No,2021-11-09T00:00:00,2021,11,45,Buy the powder instead,Already sprayed area three times.  Still not much moss has died,organic reviews,0.0,2,0,0,0,No,already sprayed area three times.  still not much moss has died,2021-11-09,Neutral,0.12474599480628967,0.29480308294296265,0.062263909727334976,0.06815862655639648,0.040792983025312424,0.05650172010064125,0.3657058775424957,0.2430327832698822,0.15341657400131226,0.045781686902046204,0.46512511372566223,0.49993613362312317,0.08536811918020248,0.06863973289728165,0.49993613362312317,effective
24088,Garden,140018,MOSS OUT! For Lawns Liquid 1 Gallon Liquid Concentrate,https://www.amazon.com.com/dp/B000NCUVB8,Amazon,MossOut,B000NCUVB8,B000NCUVB8,No,2022-06-08T00:00:00,2022,6,23,Still waiting,"I sprayed the moss last week, still waiting for it to die.",organic reviews,21.88,3,0,0,0,No,"i sprayed the moss last week, still waiting for it to die.",2022-06-08,Negative,0.13962918519973755,0.4727271497249603,0.2916710078716278,0.04495843127369881,0.12179349362850189,0.09846461564302444,0.6195489764213562,0.25031575560569763,0.30427783727645874,0.12119367718696594,0.5438107252120972,0.686453104019165,0.5879405736923218,0.6738255620002747,0.686453104019165,effective
19933,Garden,131507,MOSS OUT! For Lawns Liquid 1 Gallon Liquid Concentrate,http://www.homedepot.com/p/100138813,Homedepot,MossOut,100138813,100138813,Yes,2022-05-12T00:00:00,2022,5,19,Not much chance when used as directed. May have to...,Not much chance when used as directed. May have to increase dosage.,organic reviews,16.88,3,0,0,0,No,not much chance when used as directed. may have to increase dosage.,2022-05-12,Neutral,0.2456534206867218,0.1255575567483902,0.11966872960329056,0.012898157350718975,0.4440620541572571,0.026375090703368187,0.4528375267982483,0.005353023298084736,0.2396094799041748,0.03342780843377113,0.5254983901977539,0.002979840384796262,0.7464883923530579,0.7327362895011902,0.7464883923530579,faulty
