,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count
163,Garden,1634,Earth Juice Hi- Brix ,https://www.amazon.com/dp/B005H79H9G,Amazon,EarthJuice,B005H79H9G,B005H79H9G,No,2021-06-30T00:00:00,2021,6,26,Good product,"Good product, plants loved it",organic reviews,21.1,4,0,0,0,No,"good product, plants loved it",2021-06-30,5
164,Garden,1635,Earth Juice Hi- Brix ,https://www.amazon.com/dp/B005H79H9G,Amazon,EarthJuice,B005H79H9G,B005H79H9G,No,2021-07-27T00:00:00,2021,7,30,Works great!,Plants love this!,organic reviews,21.1,5,0,0,0,No,plants love this!,2021-07-27,3
165,Garden,1639,Earth Juice Hi- Brix ,https://www.amazon.com/dp/B005H79H9G,Amazon,EarthJuice,B005H79H9G,B005H79H9G,No,2021-08-12T00:00:00,2021,8,32,Very Green Grass,"This Molasses like ingredient is like super juice, in less that 2 weeks in using this produce, by following instructions our grass came to life, flourishing and and very green. I amd from Texas where the temperature is very hot in the summer and the sun usually turn the grass from green to dark gray (Burnt). I would recommend this product.",organic reviews,21.1,5,0,0,0,No,"this molasses like ingredient is like super juice, in less that 2 weeks in using this produce, by following instructions our grass came to life, flourishing and and very green. i amd from texas where the temperature is very hot in the summer and the sun usually turn the grass from green to dark gray (burnt). i would recommend this product.",2021-08-12,61
166,Garden,1642,Earth Juice Hi- Brix ,https://www.amazon.com/dp/B005H79H9G,Amazon,EarthJuice,B005H79H9G,B005H79H9G,No,2021-08-12T00:00:00,2021,8,32,Good stuff,Plants like it,organic reviews,21.1,5,0,0,0,No,plants like it,2021-08-12,3
167,Garden,1655,Earth Juice Hi- Brix ,https://www.amazon.com/dp/B005H79H9G,Amazon,EarthJuice,B005H79H9G,B005H79H9G,No,2021-09-08T00:00:00,2021,9,36,very good product,very good,organic reviews,21.1,5,0,0,0,No,very good,2021-09-08,2
168,Garden,1660,Earth Juice Hi- Brix ,https://www.amazon.com/dp/B005H79H9G,Amazon,EarthJuice,B005H79H9G,B005H79H9G,No,2021-08-26T00:00:00,2021,8,34,good product,"have used over the years in addition to MiracleGro, and your good to go!",organic reviews,21.1,5,0,0,0,No,"have used over the years in addition to miraclegro, and your good to go!",2021-08-26,14
169,Garden,1661,Earth Juice Hi- Brix ,https://www.amazon.com/dp/B005H79H9G,Amazon,EarthJuice,B005H79H9G,B005H79H9G,No,2021-06-06T00:00:00,2021,6,22,Great product! Highly recommended!,"I have been looking for a quality molasses based sweetener, then I came across this Hi-Brix. This stuff looks and smells exactly like it should, looks really quality. Great packaging as well. Will be posting after pictures.",organic reviews,21.1,4,0,0,0,No,"i have been looking for a quality molasses based sweetener, then i came across this hi-brix. this stuff looks and smells exactly like it should, looks really quality. great packaging as well. will be posting after pictures.",2021-06-06,37
170,Garden,1665,Earth Juice Hi- Brix ,https://www.amazon.com/dp/B005H79H9G,Amazon,EarthJuice,B005H79H9G,B005H79H9G,No,2021-11-18T00:00:00,2021,11,46,Compost tea for my pants,"I use this in compost tea for my babies. They love it.I let it bubble with fish tank aerators, with some other amendments in a pail for 24hrs before I fed them.",organic reviews,21.1,5,0,0,0,No,"i use this in compost tea for my babies. they love it.i let it bubble with fish tank aerators, with some other amendments in a pail for 24hrs before i fed them.",2021-11-18,32
171,Garden,1673,Earth Juice Hi- Brix ,https://www.amazon.com/dp/B005H79HF0,Amazon,EarthJuice,B005H79HF0,B005H79HF0,Yes,2021-08-23T00:00:00,2021,8,34,Works good for flowering,Works as it should.could be cheaper,organic reviews,15.24,5,0,0,0,No,works as it should.could be cheaper,2021-08-23,6
172,Garden,1708,Earth Juice Meta-K 1 Gallon,https://www.amazon.com/dp/B000E28E6G,Amazon,EarthJuice,B000E28E6G,B000E28E6G,Yes,2021-06-14T00:00:00,2021,6,24,Too much $$,Good product. This is overpriced,organic reviews,38.44,1,0,0,0,No,good product. this is overpriced,2021-06-14,5
173,Garden,1739,Earth Juice Rainbow Mix Pro Grow ,https://www.amazon.com/dp/B010LR6CKS,Amazon,EarthJuice,B010LR6CKS,B010LR6CKS,No,2021-07-30T00:00:00,2021,7,30,Getting started,This is exactly what plants need at beginning of season,organic reviews,27.46,5,0,0,0,No,this is exactly what plants need at beginning of season,2021-07-30,10
174,Garden,1743,Earth Juice Rainbow Mix Pro Grow ,https://www.amazon.com/dp/B010LR6CKS,Amazon,EarthJuice,B010LR6CKS,B010LR6CKS,No,2021-07-11T00:00:00,2021,7,27,Best organic nutrients!,This stuff is great. Been using it for years! Its got a ton of fungi and bacteria. It definitely wont burn your plants cause I tested a few and put 3 times the recommended amount and they loved it! Getting a bag of the bloom soon because it takes a little before it starts breaking down. This and aerated compost tea and your veggies and stuff will love you!,organic reviews,27.46,5,0,0,0,No,this stuff is great. been using it for years! its got a ton of fungi and bacteria. it definitely wont burn your plants cause i tested a few and put 3 times the recommended amount and they loved it! getting a bag of the bloom soon because it takes a little before it starts breaking down. this and aerated compost tea and your veggies and stuff will love you!,2021-07-11,69
696,Garden,4809,Earth Juice Bloom Original Formula 5 Gallons,https://www.amazon.com/dp/B002JLC8VC,Amazon,EarthJuice,B002JLC8VC,B002JLC8VC,No,2021-07-01T00:00:00,2021,7,26,Good Fresh Flowering Fertilizer,The product is fresh and not old like some fertilizers that have been sitting in warehouses. Ive been using earth juice flower for about 2 years now for organic gardening. It is fully organic and produces healthy aromatic flowers. Highly recommended!,organic reviews,32.25,5,0,0,0,No,the product is fresh and not old like some fertilizers that have been sitting in warehouses. ive been using earth juice flower for about 2 years now for organic gardening. it is fully organic and produces healthy aromatic flowers. highly recommended!,2021-07-01,41
697,Garden,4810,Earth Juice Bloom Original Formula 5 Gallons,https://www.amazon.com/dp/B002JLC8VC,Amazon,EarthJuice,B002JLC8VC,B002JLC8VC,No,2021-07-25T00:00:00,2021,7,29,Wont burn your flowers,Wont burn your plants. Triple the suggested dosage works wonders. Dont forget to add a single recommended dose of the grow because you still need a bit of nitrogen for good flowering. 3-1 is tried and true,organic reviews,32.25,5,0,0,0,No,wont burn your plants. triple the suggested dosage works wonders. dont forget to add a single recommended dose of the grow because you still need a bit of nitrogen for good flowering. 3-1 is tried and true,2021-07-25,37
698,Garden,4820,Earth Juice Bloom Original Formula 5 Gallons,https://www.amazon.com/dp/B002JLC8VC,Amazon,EarthJuice,B002JLC8VC,B002JLC8VC,No,2021-08-01T00:00:00,2021,8,30,not as advertised,"Did not receive a full gallon, replacement was not a full gallon either.....both almost empty, looks like youre suppose to add water, but it says Do Not Add Water!",organic reviews,32.25,1,0,0,0,No,"did not receive a full gallon, replacement was not a full gallon either.....both almost empty, looks like youre suppose to add water, but it says do not add water!",2021-08-01,29
699,Garden,4822,Earth Juice Grow Original Formula 1 Quart,https://www.amazon.com/dp/B0001YC3PA,Amazon,EarthJuice,B0001YC3PA,B0001YC3PA,No,2021-07-28T00:00:00,2021,7,30,Messes with PH,You need to be careful when using the EJ grow. I found it to mess with my PH levels. This company needs to address this issue. This product will reduce your PH levels in your soil. The EJ grow must have high acid content. My PH drops every time I use it. It is a real pain to have to adjust my PH if I want to use it. I wasted my money on this product. Wont buy it again. I need a more balanced nutrient.,organic reviews,14.81,3,0,0,0,No,you need to be careful when using the ej grow. i found it to mess with my ph levels. this company needs to address this issue. this product will reduce your ph levels in your soil. the ej grow must have high acid content. my ph drops every time i use it. it is a real pain to have to adjust my ph if i want to use it. i wasted my money on this product. wont buy it again. i need a more balanced nutrient.,2021-07-28,86
700,Garden,4839,Earth Juice Grow Original Formula 1 Quart,https://www.amazon.com/dp/B0001YC3PA,Amazon,EarthJuice,B0001YC3PA,B0001YC3PA,No,2021-09-11T00:00:00,2021,9,36,N-P-K is 2-1-0,"Image does not match product received. The seller did not include a photo of the use label reflecting the N-P-K ratio but I bought it, regardless, because of a customer comment on 5/26/14 that the product was a 2-1-1. That was the specific ratio I was shopping for. The product received clearly stated 2-1-0 on the front so theyve changed the formula and the product label which would have kept me from purchasing. The first photo shows the sellers image on website. I have added a photo of what was received AND the use label to assist future buyers.",organic reviews,14.81,1,3,0,0,No,"image does not match product received. the seller did not include a photo of the use label reflecting the n-p-k ratio but i bought it, regardless, because of a customer comment on 5/26/14 that the product was a 2-1-1. that was the specific ratio i was shopping for. the product received clearly stated 2-1-0 on the front so theyve changed the formula and the product label which would have kept me from purchasing. the first photo shows the sellers image on website. i have added a photo of what was received and the use label to assist future buyers.",2021-09-11,99
