,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count
7464,Garden,67336,"Eliminator Ant, Flea and Tick Killer Granules, 1.25 lb.",https://www.walmart.com//ip/Eliminator-Ant-Flea-and-Tick-Killer-Granules-1-25-lb/807844780?selected=true,Walmart,Eliminator,807844780,807844780,No,2021-08-06T00:00:00,2021,8,31,,For ants and fleas works  great and the price is nice too. Follow directions and you will love the results.,organic reviews,2.97,5,0,0,0,No,for ants and fleas works  great and the price is nice too. follow directions and you will love the results.,2021-08-06,21
7465,Garden,67337,"Eliminator Ant, Flea and Tick Killer Granules, 1.25 lb.",https://www.walmart.com//ip/Eliminator-Ant-Flea-and-Tick-Killer-Granules-1-25-lb/807844780?selected=true,Walmart,Eliminator,807844780,807844780,No,2021-06-29T00:00:00,2021,6,26,Eliminator ant killer works the best,These ant granules work great. Sprinkle and the ants carry it back to the nest and that mound is gone for the rest of the summer.  I sprinkle it around the base of the house and have only only a very few ants inside this season.,organic reviews,2.97,5,0,0,0,No,these ant granules work great. sprinkle and the ants carry it back to the nest and that mound is gone for the rest of the summer.  i sprinkle it around the base of the house and have only only a very few ants inside this season.,2021-06-29,47
7466,Garden,67338,"Eliminator Ant, Flea and Tick Killer Granules, 1.25 lb.",https://www.walmart.com//ip/Eliminator-Ant-Flea-and-Tick-Killer-Granules-1-25-lb/807844780?selected=true,Walmart,Eliminator,807844780,807844780,No,2021-07-10T00:00:00,2021,7,27,It works well,This stuff really works well,organic reviews,2.97,5,0,0,0,No,this stuff really works well,2021-07-10,5
7467,Garden,67339,"Eliminator Ant, Flea and Tick Killer Granules, 1.25 lb.",https://www.walmart.com//ip/Eliminator-Ant-Flea-and-Tick-Killer-Granules-1-25-lb/807844780?selected=true,Walmart,Eliminator,807844780,807844780,No,2021-06-16T00:00:00,2021,6,24,"review of Eliminator Ant, Flea and Tick Killer Gra",be sure you make sure you get the right one. This is OUTDOOR and I needed INDOOR on carpeting.,organic reviews,2.97,3,0,0,0,No,be sure you make sure you get the right one. this is outdoor and i needed indoor on carpeting.,2021-06-16,19
7468,Garden,67340,"Eliminator Ant, Flea & Tick Killer Plus Granules, 10lb",https://www.walmart.com//ip/Eliminator-Ant-Flea-Tick-Killer-Plus-Granules-10lb/55283731?selected=true,Walmart,Eliminator,55283731,55283735,No,2021-06-08T00:00:00,2021,6,23,,it works real quick I seen a different right away,organic reviews,5.86,5,0,0,0,No,it works real quick i seen a different right away,2021-06-08,10
7469,Garden,67341,"Eliminator Ant, Flea & Tick Killer Plus Granules, 10lb",https://www.walmart.com//ip/Eliminator-Ant-Flea-Tick-Killer-Plus-Granules-10lb/55283731?selected=true,Walmart,Eliminator,55283731,55283735,No,2021-10-19T00:00:00,2021,10,42,Did not eliminate fleas in yard,bought to eliminate fleas in yard.  Did not work.  Product was either stale or just ineffective.,organic reviews,5.86,2,0,0,0,No,bought to eliminate fleas in yard.  did not work.  product was either stale or just ineffective.,2021-10-19,18
7470,Garden,67342,"Eliminator Ant, Flea & Tick Killer Plus Granules, 10lb",https://www.walmart.com//ip/Eliminator-Ant-Flea-Tick-Killer-Plus-Granules-10lb/55283731?selected=true,Walmart,Eliminator,55283731,55283735,No,2021-08-16T00:00:00,2021,8,33,waste of money,"purchased two large bags of this Eliminator product...total waste paid someone to have it spread through my yard (triple dosed), the bugs are still playing in it, jumping and running about in it like its a big joke!",organic reviews,5.86,1,0,0,0,No,"purchased two large bags of this eliminator product...total waste paid someone to have it spread through my yard (triple dosed), the bugs are still playing in it, jumping and running about in it like its a big joke!",2021-08-16,38
7471,Garden,67343,"Eliminator Ant, Flea & Tick Killer Plus Granules, 10lb",https://www.walmart.com//ip/Eliminator-Ant-Flea-Tick-Killer-Plus-Granules-10lb/55283731?selected=true,Walmart,Eliminator,55283731,55283735,No,2021-09-06T00:00:00,2021,9,36,Great product,Great . Ants took it to their home and were dead and gone,organic reviews,5.86,5,0,0,0,No,great . ants took it to their home and were dead and gone,2021-09-06,13
7472,Garden,67344,"Eliminator Ant, Flea & Tick Killer Plus Granules, 10lb",https://www.walmart.com//ip/Eliminator-Ant-Flea-Tick-Killer-Plus-Granules-10lb/55283731?selected=true,Walmart,Eliminator,55283731,55283735,No,2021-07-27T00:00:00,2021,7,30,good stuff,worked fast and efficiently,organic reviews,5.86,5,0,0,0,No,worked fast and efficiently,2021-07-27,4
7473,Garden,67345,"Eliminator Ant, Flea & Tick Killer Plus Granules, 10lb",https://www.walmart.com//ip/Eliminator-Ant-Flea-Tick-Killer-Plus-Granules-10lb/55283731?selected=true,Walmart,Eliminator,55283731,55283735,No,2021-08-01T00:00:00,2021,8,30,Works  well.,i have lots of bugs in my lawn and i apply the granules using a push spread and a hand-crank one also. I do this just before  the rainfall and for a few weeks it does lessen greatly the amount of bugs  but it doesnt last long. Priced lower than the competition so i still go for this Walmart brand.,organic reviews,5.86,5,0,0,0,No,i have lots of bugs in my lawn and i apply the granules using a push spread and a hand-crank one also. i do this just before  the rainfall and for a few weeks it does lessen greatly the amount of bugs  but it doesnt last long. priced lower than the competition so i still go for this walmart brand.,2021-08-01,62
