,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use,effectiveness,efficiency
27743,Garden,143677,Ironite Mineral Supplement 1-0-0 1 15 lbs.,https://www.lowes.com/pd/Ironite-Ironite-1-0-0/5012913023,Lowes,PenningtonFertilizer,5012913023,5012913023,No,2022-06-27T00:00:00,2022,6,26,Works great!,"[This review was collected as part of a promotion.] The Ironite spread really easily, thankfully! When I do yard work, I dont want to drive myself crazy with hard to use products, so first and foremost- very easy to use! Parts of the yard are brown and gross, partially due to this crazy heat and not enough rain, but also clay, clay, clay. I used the Ironite and it really does look better in just a week! I read it helps with water retention as well, which is necessary because I am starting to think we are living in the dust bowl.",syndicated reviews,19.98,5,0,0,0,Yes,"[this review was collected as part of a promotion.] the ironite spread really easily, thankfully! when i do yard work, i dont want to drive myself crazy with hard to use products, so first and foremost- very easy to use! parts of the yard are brown and gross, partially due to this crazy heat and not enough rain, but also clay, clay, clay. i used the ironite and it really does look better in just a week! i read it helps with water retention as well, which is necessary because i am starting to think we are living in the dust bowl.",6/27/2022,102,positive,,1,1,
14810,Garden,90094,Alaska 5-1-1 Fish Fertilizer 5 Gal Bucket (concentrate),http://www.homedepot.com/p/202949934,Homedepot,PenningtonFertilizer,202949934,202949934,Yes,2022-04-13T00:00:00,2022,4,15,Great product that produces great results. Only wish it smelled...,Great product that produces great results. Only wish it smelled a little better.  Lol,organic reviews,99.97,5,0,0,0,No,great product that produces great results. only wish it smelled a little better.  lol,4/13/2022,15,positive,,,1,
25470,Garden,141402,Alaska 0-10-10 Morbloom Fertilizer 32 oz bottle (concentrate),http://www.homedepot.com/p/202817750,Homedepot,PenningtonFertilizer,202817750,202817750,Yes,2022-06-19T00:00:00,2022,6,24,I used this fertilizer on my strawberry plant which is...,I used this fertilizer on my strawberry plant which is slowing down on the growth. Within a week I see new blooms. This product is effective.,organic reviews,7.48,5,0,0,0,No,i used this fertilizer on my strawberry plant which is slowing down on the growth. within a week i see new blooms. this product is effective.,6/19/2022,26,positive,,,1,
19169,Garden,130642,Pennington UltraGreen Weed and Feed 30-0-4,http://www.homedepot.com/p/312265343,Homedepot,PenningtonFertilizer,312265343,312265343,No,2022-05-12T00:00:00,2022,5,19,We have used Pennington numerous times over the years and...,We have used Pennington numerous times over the years and always with hreat success.,organic reviews,23.68,5,0,0,0,No,we have used pennington numerous times over the years and always with hreat success.,5/12/2022,14,positive,,,1,
24695,Garden,140626,Ironite Plus Lawn & Garden Spray 7-0-1,http://www.homedepot.com/p/300274489,Homedepot,PenningtonFertilizer,300274489,300274489,No,2022-06-25T00:00:00,2022,6,25,Works great,[This review was collected as part of a promotion.] I received Central Garden & Pet Ironite Liquid Lawn & Garden Spray 7-0-1. I havent had it for long but I have seen growth in my bushes and plant.,syndicated reviews,13.66,5,0,0,0,Yes,[this review was collected as part of a promotion.] i received central garden & pet ironite liquid lawn & garden spray 7-0-1. i havent had it for long but i have seen growth in my bushes and plant.,6/25/2022,38,positive,,,1,
24258,Garden,140188,Pennington UltraGreen Weed and Feed 30-0-4,https://www.amazon.com.com/dp/B07N29LSZ1,Amazon,PenningtonFertilizer,B07N29LSZ1,B07N29LSZ1,No,2022-06-30T00:00:00,2022,6,26,It works,It works,organic reviews,49.97,5,0,0,0,No,it works,6/30/2022,2,positive,,,1,
16953,Garden,110527,Alaska 5-1-1 Fish Fertilizer 1 Gal (concentrate),http://www.homedepot.com/p/202949934,Homedepot,PenningtonFertilizer,100211859,202949934,Yes,2022-04-27T00:00:00,2022,4,17,This fertilizer is like crack for plants! Since my neighbor...,"This fertilizer is like crack for plants! Since my neighbor told me about it last year, we have bought it several times and it has done wonders for our trees, plants, and grasses. Will be back next month for another gallon.",organic reviews,24.99,5,0,0,0,No,"this fertilizer is like crack for plants! since my neighbor told me about it last year, we have bought it several times and it has done wonders for our trees, plants, and grasses. will be back next month for another gallon.",4/27/2022,41,positive,,,1,
15703,Garden,100298,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,http://www.homedepot.com/p/205561089,Homedepot,PenningtonFertilizer,205561089,205561089,No,2022-04-19T00:00:00,2022,4,16,"Would buy it again, dont know the complete results, just...","Would buy it again, dont know the complete results, just put the stuff on my lawn over the Easter weekend, will report back at a later date with the end results.",organic reviews,18.98,4,0,0,0,No,"would buy it again, dont know the complete results, just put the stuff on my lawn over the easter weekend, will report back at a later date with the end results.",4/19/2022,31,neutral,,,,
9571,Garden,70268,Alaska 5-1-1 Fish Fertilizer 5 Gal Bucket (concentrate),https://www.homedepot.com/p/Alaska-640-oz-5-Gals-Organic-Gardening-Liquid-Fish-Emulsion-Fertilizer-5-1-1-9301205/202949934,Homedepot,PenningtonFertilizer,202949934,202949934,Yes,2021-12-22T00:00:00,2021,12,51,This should last an entire year for all of my...,This should last an entire year for all of my 16 Rose bushes and 16 fruit trees.,organic reviews,99.97,5,0,0,0,No,this should last an entire year for all of my 16 rose bushes and 16 fruit trees.,12/22/2021,17,positive,,,,1
16965,Garden,110539,Alaska 5-1-1 Fish Fertilizer 5 Gal Bucket (concentrate),http://www.homedepot.com/p/202949934,Homedepot,PenningtonFertilizer,202949934,202949934,Yes,2022-05-04T00:00:00,2022,5,18,Love this stuff!!!,This is my go to fertilizer. It doesnt smell nice but the performance out weighs the bad smell.,organic reviews,99.97,5,0,0,0,No,this is my go to fertilizer. it doesnt smell nice but the performance out weighs the bad smell.,5/4/2022,18,positive,,,1,
