,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count
22240,Garden,134189,Sevin Ready to Use 5% Dust 3 lb. ,https://www.homedepot.com/p/Sevin-3-lbs-Ready-to-Use-Garden-Insect-Killer-Dust-100539964/316708109,Homedepot,GardenTech,316708109,100539964,Yes,2022-05-16T00:00:00,2022,5,20,Excellent insect killer,"[This review was collected as part of a promotion.] very good for controlling pests in my garden. keeping my fruits and vegetables healthy, excellent highly recommended",syndicated reviews,15.47,5,1,0,0,Yes,"[this review was collected as part of a promotion.] very good for controlling pests in my garden. keeping my fruits and vegetables healthy, excellent highly recommended",2022-05-16,26
27585,Garden,143517,Sevin Ready-to-Spray Bug Killer 32 oz. ,https://www.lowes.com/pd/Sevin-1-Quart-Garden-Insect-Killer/1000477903,Lowes,GardenTech,1000477903,1000477903,No,2022-06-27T00:00:00,2022,6,26,Rip off!,"See the pictures. When I took the lid off the bottle was sealed shut. I removed the seal and as you can see in the picture there was less than half in the bottle. Will never buy this product again, such a rip off.",syndicated reviews,15.48,1,0,0,0,No,"see the pictures. when i took the lid off the bottle was sealed shut. i removed the seal and as you can see in the picture there was less than half in the bottle. will never buy this product again, such a rip off.",2022-06-27,44
25693,Garden,141625,Sevin Ready-to-Use 1.33 gal.,http://www.homedepot.com/p/303593722,Homedepot,GardenTech,311707480,303593722,Yes,2022-06-07T00:00:00,2022,6,23,Amazing results,[This review was collected as part of a promotion.] Due to our neighbor digging up their backyard our plants were infested with bugs. This product quickly got rid of the bugs and our plants are showing minimal damage from the bugs. I will keep this product in our house always!,syndicated reviews,25.32,5,0,0,0,Yes,[this review was collected as part of a promotion.] due to our neighbor digging up their backyard our plants were infested with bugs. this product quickly got rid of the bugs and our plants are showing minimal damage from the bugs. i will keep this product in our house always!,2022-06-07,50
19048,Garden,130514,Sevin Ready to Use 5% Dust 1 lb. ,http://www.homedepot.com/p/203027209,Homedepot,GardenTech,203027209,203027209,No,2022-05-28T00:00:00,2022,5,21,Works great!,"[This review was collected as part of a promotion.] This has worked well in our garden, I havent seen any ants and last year they were everywhere.",syndicated reviews,6.27,5,0,0,0,Yes,"[this review was collected as part of a promotion.] this has worked well in our garden, i havent seen any ants and last year they were everywhere.",2022-05-28,27
22861,Garden,134862,Sevin Ready to Use  5% Dust 1 lb. 3-Pack,https://www.lowes.com/pd/Sevin-5-Dust-1-lb-Garden-Insect-Killer-3-Pack/1000481173,Lowes,GardenTech,1000481173,1000481173,No,2022-05-22T00:00:00,2022,5,20,Worked great,[This review was collected as part of a promotion.] Used this to clear out a earth worm infestation that was attracting moles which were destroying my lawn. This stuff really did the trick. I laid down the product and lucky had a good rain storm that came in at night and wiped out a couple hundred of earth worms. Now I dont see any moles since their food supply has been destroyed. Gross to pick up that many works though...I would suggest investing in a 15 inch tweezers set because youll be picking dead worms off your lawn for about a week after applying Sevin. It has also been killing off those peaty Japanese bettles. This stuff works great!!,syndicated reviews,14.98,5,1,0,0,Yes,[this review was collected as part of a promotion.] used this to clear out a earth worm infestation that was attracting moles which were destroying my lawn. this stuff really did the trick. i laid down the product and lucky had a good rain storm that came in at night and wiped out a couple hundred of earth worms. now i dont see any moles since their food supply has been destroyed. gross to pick up that many works though...i would suggest investing in a 15 inch tweezers set because youll be picking dead worms off your lawn for about a week after applying sevin. it has also been killing off those peaty japanese bettles. this stuff works great!!,2022-05-22,119
20442,Garden,132087,Sevin Insect Killer,http://www.homedepot.com/p/303593722,Homedepot,GardenTech,100598614,303593722,Yes,2022-05-16T00:00:00,2022,5,20,convenient and works,"[This review was collected as part of a promotion.] The Sevin Insect Killer Ready to Use is conveniently packaged with a sprayer works without needing extra bottles or mixing anything. It is great that it works on so many different kinds of insects. I have issues with ants and those red and black bugs especially. I have been able to spray this down and see it work on contact. I also like that this doesnt harm plants. It is too early to try on my vegetables, but when the aphids come out I will be confident in trying this on my plants to kill the bugs as well. I received a free product in exchange for my honest review.",syndicated reviews,7.49,5,0,0,0,Yes,"[this review was collected as part of a promotion.] the sevin insect killer ready to use is conveniently packaged with a sprayer works without needing extra bottles or mixing anything. it is great that it works on so many different kinds of insects. i have issues with ants and those red and black bugs especially. i have been able to spray this down and see it work on contact. i also like that this doesnt harm plants. it is too early to try on my vegetables, but when the aphids come out i will be confident in trying this on my plants to kill the bugs as well. i received a free product in exchange for my honest review.",2022-05-16,119
19346,Garden,130846,Sevin Insect Killer Ready to Use2 Quart,http://www.homedepot.com/p/317814883,Homedepot,GardenTech,317814883,317814883,No,2022-05-12T00:00:00,2022,5,19,Works Great!,[This review was collected as part of a promotion.] Sevin is one of my most trusted brands when it comes to pest control. We moved this past year to a more wooded area where we are seeing a ton more creepy crawling things and GardenTech Sevin Insect Killer Ready to Use 1.33Gal is a big powerhouse at killing all those destructive bugs. Its a must have for my home!,syndicated reviews,14.97,5,1,0,0,Yes,[this review was collected as part of a promotion.] sevin is one of my most trusted brands when it comes to pest control. we moved this past year to a more wooded area where we are seeing a ton more creepy crawling things and gardentech sevin insect killer ready to use 1.33gal is a big powerhouse at killing all those destructive bugs. its a must have for my home!,2022-05-12,69
23910,Garden,136011,Sevin Insect Killer Ready to Use2 1.33 Gal,https://www.lowes.com/pd/Sevin-Ready-to-Use-1-33-Gallon-Garden-Insect-Killer/1001413712,Lowes,GardenTech,1001413712,1001413712,No,2022-05-20T00:00:00,2022,5,20,Great product,[This review was collected as part of a promotion.] I used it on my boxwood bushes and it killed all the little green flying bugs that lived inside of it! When i started spraying the bush the bugs were flying out and were dying on contact. Im also going to try in my hostas that are getting eaten alive. 10/10 recommend.,syndicated reviews,22.98,5,1,0,0,Yes,[this review was collected as part of a promotion.] i used it on my boxwood bushes and it killed all the little green flying bugs that lived inside of it! when i started spraying the bush the bugs were flying out and were dying on contact. im also going to try in my hostas that are getting eaten alive. 10/10 recommend.,2022-05-20,61
23851,Garden,135950,Sevin Insect Killer Ready to Use2 1.33 Gal,https://www.lowes.com/pd/Sevin-Ready-to-Use-1-33-Gallon-Garden-Insect-Killer/1001413712,Lowes,GardenTech,1001413712,1001413712,No,2022-05-16T00:00:00,2022,5,20,Awesome product!,"[This review was collected as part of a promotion.] I live in the rural mountains of North Georgia, and we have all kinds of nuisance bugs but Sevin has been a game changer. Super easy to use, and my plants and flowers have never looked better. I received this product for an honest review, but I will be buying it when its gone.",syndicated reviews,22.98,5,0,0,0,Yes,"[this review was collected as part of a promotion.] i live in the rural mountains of north georgia, and we have all kinds of nuisance bugs but sevin has been a game changer. super easy to use, and my plants and flowers have never looked better. i received this product for an honest review, but i will be buying it when its gone.",2022-05-16,63
23253,Garden,135285,Sevin Insect Killer Ready to Use,https://www.lowes.com/pd/Sevin-Sevin-Insect-Killer-1-Gallon-RTU-Lambda/5005469013,Lowes,GardenTech,5005469013,5005469013,No,2022-05-23T00:00:00,2022,5,21,Keeps insects away,[This review was collected as part of a promotion.] This is a great product if you want to keep bugs away but also keep your plants safe. Easy to spray. Typical bug spray packaging. Would repurchase and recommend.,syndicated reviews,16.02,5,0,0,0,Yes,[this review was collected as part of a promotion.] this is a great product if you want to keep bugs away but also keep your plants safe. easy to spray. typical bug spray packaging. would repurchase and recommend.,2022-05-23,38
