,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use,effective,efficient,sentiment_m,cost_m,efficient_m,effective_m,ease of use_m,naive_cost,naive_efficient,naive_effective,naive_easeofuse
4951,Garden,56444,Image All-In-One Weed Killer Ready-to-Spray,https://www.lowes.com/pd/IMAGE-All-In-One-24-oz-Lawn-Weed-Killer/999990274,Lowes,ImageforWeeds,999990274,999990274,No,2021-06-22T00:00:00,2021,6,25,Excellent product,"[This review was collected as part of a promotion.] This is an amazing weed killer, better than any one Ive ever used. Killed weeds quickly and efficiently. Easy to use. I would highly recommend this product",syndicated reviews,20.98,5,0,0,0,Yes,"[this review was collected as part of a promotion.] this is an amazing weed killer, better than any one ive ever used. killed weeds quickly and efficiently. easy to use. i would highly recommend this product",6/22/2021,36,-1,0.0,1.0,0.0,1.0,1,0,1,1,1,0,0,0,0
26257,Garden,142189,IMAGE Lawn Weed & Crabgrass Killer Concentrate ,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670295,311670269,Yes,2022-06-28T00:00:00,2022,6,26,Easy Spray Lawn Management,[This review was collected as part of a promotion.] This product was easy to use and did what it was advertised to do. My yard has a great look to it now!,syndicated reviews,13.47,5,0,0,0,Yes,[this review was collected as part of a promotion.] this product was easy to use and did what it was advertised to do. my yard has a great look to it now!,6/28/2022,32,-1,0.0,1.0,1.0,0.0,1,0,1,1,1,0,0,0,0
25935,Garden,141867,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-06-13T00:00:00,2022,6,24,Nothing noticeable,"[This review was collected as part of a promotion.] Tried the weed & crabgrass spray. I havent notice any change in lawn appearance. Stayed the clover and danilion, but they still grow as usual. I will try longer to see if there are changes",syndicated reviews,15.47,3,0,0,0,Yes,"[this review was collected as part of a promotion.] tried the weed & crabgrass spray. i havent notice any change in lawn appearance. stayed the clover and danilion, but they still grow as usual. i will try longer to see if there are changes",6/13/2022,44,-1,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0
25910,Garden,141842,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-06-13T00:00:00,2022,6,24,Works good but messy,[This review was collected as part of a promotion.] The product seems to work great on killing the grass that we dont want but when we applied it the bottle didnt seem to hook up to the water hose fully so there was water spraying everywhere it was just a huge mess.,syndicated reviews,15.47,4,0,0,0,Yes,[this review was collected as part of a promotion.] the product seems to work great on killing the grass that we dont want but when we applied it the bottle didnt seem to hook up to the water hose fully so there was water spraying everywhere it was just a huge mess.,6/13/2022,52,-1,0.0,1.0,1.0,0.0,-1,0,0,0,0,0,0,0,0
1701,Garden,12689,Image Kills Nutsedge Ready-to-Spray,http://www.homedepot.com/p/t/100598623,Homedepot,ImageforWeeds,100598623,100175861,Yes,2021-10-05T00:00:00,2021,10,40,Did not kill anything....,Did not kill anything.,organic reviews,19.97,1,0,0,0,No,did not kill anything.,10/5/2021,4,-1,0.0,0.0,1.0,0.0,0,0,1,0,1,0,0,0,0
13040,Garden,77079,Image Kills Nutsedge Concentrate,http://www.homedepot.com/p/100175861,Homedepot,ImageforWeeds,100175861,100175861,Yes,2022-03-14T00:00:00,2022,3,11,This did nothing,"I spent 40 bucks on two jugs of concentrate. I followed the directions, weather etc. Its been a month and literally nothing died or turned yellow. Waste of time and money.",syndicated reviews,20.47,1,0,0,0,No,"i spent 40 bucks on two jugs of concentrate. i followed the directions, weather etc. its been a month and literally nothing died or turned yellow. waste of time and money.",3/14/2022,31,-1,1.0,0.0,1.0,1.0,-1,1,0,0,0,0,0,0,0
25508,Garden,141440,Image Kills Nutsedge Ready-to-Spray,http://www.homedepot.com/p/100175861,Homedepot,ImageforWeeds,100598623,100175861,Yes,2022-06-22T00:00:00,2022,6,25,not worth your time or mony,"dont bother, didnt even turn the weeds brown. bought it specifically for the weeds it claims it kills.",organic reviews,22.26,1,0,0,0,No,"dont bother, didnt even turn the weeds brown. bought it specifically for the weeds it claims it kills.",6/22/2022,18,-1,0.0,0.0,1.0,0.0,-1,1,0,0,1,0,0,0,0
25920,Garden,141852,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-06-20T00:00:00,2022,6,25,Finally something that works!,"[This review was collected as part of a promotion.] Crabgrass is extremely hard to exterminate and keep at bay and my yard is riddled with it. This stuff works within 24 hours and, so far, it has kept it away. There are other weeds this stuff eradicates as well and it makes me happy! Now, I can let my yard breathe and regular grass can grow! I am definitely keeping this in my arsenal from the neighboring yards that have the same problem. I have already told my neighbors about this and how easy it is to use. Im on my way to the store today to get more!",syndicated reviews,15.47,5,0,0,0,Yes,"[this review was collected as part of a promotion.] crabgrass is extremely hard to exterminate and keep at bay and my yard is riddled with it. this stuff works within 24 hours and, so far, it has kept it away. there are other weeds this stuff eradicates as well and it makes me happy! now, i can let my yard breathe and regular grass can grow! i am definitely keeping this in my arsenal from the neighboring yards that have the same problem. i have already told my neighbors about this and how easy it is to use. im on my way to the store today to get more!",6/20/2022,109,-1,0.0,1.0,1.0,1.0,1,0,1,1,1,0,0,0,0
26038,Garden,141970,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-06-01T00:00:00,2022,6,22,Best weed killer,East to use. Killed weeds in about 3 days,organic reviews,15.47,5,0,0,0,No,east to use. killed weeds in about 3 days,6/1/2022,9,-1,0.0,1.0,0.0,1.0,0,0,1,1,1,0,0,0,0
2410,Garden,20951,Image Herbicide for St. Augustinegrass & Centipedegrass Concentrate,http://www.homedepot.com/p/t/303594320,Homedepot,ImageforWeeds,303594320,303594294,Yes,2021-06-02T00:00:00,2021,6,22,Used several applications on St. Augustine grass and had little...,"Used several applications on St. Augustine grass and had little to no impact on several weeds. Only weed observed to die (slowly) was Dandelion and chickweed. No impact to nutsedge, crabgrass, sandbur, and spotted spurge. Yellowed and slowed grass growth in treated areas. Will not use again, better off just pulling by hand.",organic reviews,12.98,2,0,0,0,No,"used several applications on st. augustine grass and had little to no impact on several weeds. only weed observed to die (slowly) was dandelion and chickweed. no impact to nutsedge, crabgrass, sandbur, and spotted spurge. yellowed and slowed grass growth in treated areas. will not use again, better off just pulling by hand.",6/2/2021,53,-1,0.0,0.0,1.0,1.0,-1,1,0,0,0,0,0,0,0
153,Garden,1540,Image Kills Nutsedge Concentrate,https://www.amazon.com/dp/B000ONXGLS,Amazon,ImageforWeeds,B000ONXGLS,B000ONXGLS,No,2021-06-09T00:00:00,2021,6,23,GOOD BYE DOLLAR WEED,What can I say....it works and is easy to apply.,organic reviews,0.0,5,0,0,0,No,what can i say....it works and is easy to apply.,6/9/2021,10,-1,0.0,1.0,1.0,0.0,1,0,1,1,1,0,0,0,0
13433,Garden,78106,Image Kills Nutsedge Concentrate,http://www.homedepot.com/p/100175861,Homedepot,ImageforWeeds,100175861,100175861,Yes,2022-03-22T00:00:00,2022,3,12,Does what it saids,It works just have to be patient,organic reviews,20.47,4,0,0,0,No,it works just have to be patient,3/22/2022,7,-1,0.0,0.0,1.0,1.0,1,0,1,1,0,0,0,0,0
26285,Garden,142217,IMAGE Lawn Weed & Crabgrass Killer Concentrate ,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670295,311670269,Yes,2022-06-22T00:00:00,2022,6,25,Easy way to kill crabgrass,"[This review was collected as part of a promotion.] If youre looking for an easy way to kill crabgrass and weeds, this Ready-to-Spray killer is a great option! Just attach the bottle to your hose and its good to go. This is great if you have a really big weed issue. I only gave 4 stars because I am not the biggest fan of a hose spray if you dont have a large problem with weeds.",syndicated reviews,13.47,4,0,0,0,Yes,"[this review was collected as part of a promotion.] if youre looking for an easy way to kill crabgrass and weeds, this ready-to-spray killer is a great option! just attach the bottle to your hose and its good to go. this is great if you have a really big weed issue. i only gave 4 stars because i am not the biggest fan of a hose spray if you dont have a large problem with weeds.",6/22/2022,76,-1,0.0,1.0,1.0,0.0,1,0,1,1,1,0,0,0,0
2314,Garden,19469,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/t/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2021-07-16T00:00:00,2021,7,28,Im going to repeat the treatment. Maybe this time itll...,Im going to repeat the treatment. Maybe this time itll kill them all.,organic reviews,14.97,4,0,0,0,No,im going to repeat the treatment. maybe this time itll kill them all.,7/16/2021,13,-1,0.0,0.0,1.0,1.0,-1,0,0,0,0,0,0,0,0
26064,Garden,141996,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-06-14T00:00:00,2022,6,24,It Works,"[This review was collected as part of a promotion.] I applied the weed killer and within 12 hours you could see the product start to work. Upfront, I feel the product works well and does what it says it will do. Ill report back after a few days.",syndicated reviews,15.47,5,0,0,0,Yes,"[this review was collected as part of a promotion.] i applied the weed killer and within 12 hours you could see the product start to work. upfront, i feel the product works well and does what it says it will do. ill report back after a few days.",6/14/2022,48,-1,0.0,0.0,1.0,1.0,1,0,1,1,1,0,0,0,0
17128,Garden,110702,Image Herbicide for St. Augustinegrass & Centipedegrass Concentrate,http://www.homedepot.com/p/303594294,Homedepot,ImageforWeeds,303594320,303594294,Yes,2022-04-27T00:00:00,2022,4,17,Great service.,"Arrived quickly, with no issues concerning packaging!",organic reviews,10.32,5,0,0,0,No,"arrived quickly, with no issues concerning packaging!",4/27/2022,7,-1,0.0,1.0,0.0,0.0,1,0,1,1,1,0,0,0,0
