,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost_m,efficient_m,effective_m,ease of use_m,max
5239,Garden,60315,Daconil Fungicide Ready-to-Use 32 oz. ,https://www.lowes.com/pd/Daconil-32-fl-oz-Garden-Fungicide/1000692658,Lowes,GardenTech,1000692658,1000692658,No,2021-07-26T00:00:00,2021,7,30,Do not buy,The sprayer didnt spray - useless for my application.,organic reviews,7.57,2,0,0,3,No,the sprayer didnt spray - useless for my application.,2021-07-26,9,Negative,0.5969051718711853,0.002257643500342965,0.00176567945163697,0.02899601310491562,0.5969051718711853
22608,Garden,134588,Sevin Insect Killer Dust 1 lb. ,https://www.lowes.com/pd/Sevin-5-Dust-1-lb-Garden-Insect-Killer/5000198919,Lowes,GardenTech,5000198919,5000198919,No,2022-05-26T00:00:00,2022,5,21,Great for fruit trees,[This review was collected as part of a promotion.] I have several fruit trees in my yard that get attacked by a multitude of insects. The sprays are messy and mostly ineffective. I carefully spread the dust while on a ladder and saw insects falling out of the tree within minutes of application. I cant caution enough about wearing wear face and hand protection while using.,syndicated reviews,6.28,5,0,0,0,Yes,[this review was collected as part of a promotion.] i have several fruit trees in my yard that get attacked by a multitude of insects. the sprays are messy and mostly ineffective. i carefully spread the dust while on a ladder and saw insects falling out of the tree within minutes of application. i cant caution enough about wearing wear face and hand protection while using.,2022-05-26,66,Negative,0.29646065831184387,0.018117526546120644,0.0801154226064682,0.0033207626547664404,0.29646065831184387
2384,Garden,20351,Sevin Lawn Insect Granules 10 lb.,http://www.homedepot.com/p/t/304779519,Homedepot,GardenTech,304779519,304779519,Yes,2021-08-03T00:00:00,2021,8,31,Did not work for mosquitos. Do not recommend....,Did not work for mosquitos. Do not recommend.,organic reviews,9.98,1,0,0,0,No,did not work for mosquitos. do not recommend.,2021-08-03,8,Negative,0.5185822248458862,0.0031067829113453627,0.0024080639705061913,0.0026313220150768757,0.5185822248458862
23021,Garden,135036,Sevin Insect Killer Dust 3 lb. Bifenthrin,https://www.lowes.com/pd/Sevin-Sevin-Insect-Killer-Dust-3lb-Bifenthrin/5005468985,Lowes,GardenTech,5005468985,5005468985,No,2022-05-26T00:00:00,2022,5,21,Great for fruit trees,[This review was collected as part of a promotion.] I have several fruit trees in my yard that get attacked by a multitude of insects. The sprays are messy and mostly ineffective. I carefully spread the dust while on a ladder and saw insects falling out of the tree within minutes of application. I cant caution enough about wearing wear face and hand protection while using.,syndicated reviews,15.42,5,0,0,0,Yes,[this review was collected as part of a promotion.] i have several fruit trees in my yard that get attacked by a multitude of insects. the sprays are messy and mostly ineffective. i carefully spread the dust while on a ladder and saw insects falling out of the tree within minutes of application. i cant caution enough about wearing wear face and hand protection while using.,2022-05-26,66,Negative,0.29646065831184387,0.018117526546120644,0.0801154226064682,0.0033207626547664404,0.29646065831184387
20269,Garden,131897,Sevin Ready-to-Use 1.33 gal.,http://www.homedepot.com/p/303593722,Homedepot,GardenTech,311707480,303593722,Yes,2022-05-31T00:00:00,2022,5,22,Off/ on versus off/rinse/clean,Glitch in the matrix! Manufacture error. Not on all bottles. Note:. Rinse setting bypasses Sevin and is plain water. Clean is setting where Sevin and water mix to spray. This ends my Ted talk.,organic reviews,19.98,4,0,0,0,No,glitch in the matrix! manufacture error. not on all bottles. note:. rinse setting bypasses sevin and is plain water. clean is setting where sevin and water mix to spray. this ends my ted talk.,2022-05-31,34,Negative,0.11426225304603577,0.006176341325044632,0.052828557789325714,0.013986733742058277,0.11426225304603577
27511,Garden,143443,Sevin Ready to Use 5% Dust 3 lb. ,https://www.homedepot.com/p/Sevin-3-lbs-Ready-to-Use-Garden-Insect-Killer-Dust-100539964/316708109,Homedepot,GardenTech,316708109,316708109,No,2022-06-18T00:00:00,2022,6,24,The container was not even half full,Bought this product and you would think someone had already used it but it was sealed on most of the product was gone.,syndicated reviews,15.47,2,0,0,0,No,bought this product and you would think someone had already used it but it was sealed on most of the product was gone.,2022-06-18,23,Negative,0.5308278799057007,0.06880905479192734,0.49113354086875916,0.11065120249986649,0.5308278799057007
883,Garden,5568,Root Boost Rooting Hormone 2oz. Bottle,https://www.amazon.com/dp/B0068IS16S,Amazon,GardenTech,B0068IS16S,B0068IS16S,No,2021-06-27T00:00:00,2021,6,25,Open bottle,The bottle was open in the bottom of the shipping envelope and the contents were all in the bottom of the envelope.,organic reviews,8.96,1,0,0,0,No,the bottle was open in the bottom of the shipping envelope and the contents were all in the bottom of the envelope.,2021-06-27,22,Neutral,0.46882364153862,0.3721522390842438,0.6972233653068542,0.25896772742271423,0.6972233653068542
19115,Garden,130585,Sevin Ready to Use 5% Dust 1 lb. ,http://www.homedepot.com/p/203027209,Homedepot,GardenTech,203027209,203027209,No,2022-05-18T00:00:00,2022,5,20,Hoping it works,"[This review was collected as part of a promotion.] I spread on my outside plants. Lets hope it works. No activity yet, lets keep it that way",syndicated reviews,6.27,4,0,0,0,Yes,"[this review was collected as part of a promotion.] i spread on my outside plants. lets hope it works. no activity yet, lets keep it that way",2022-05-18,27,Positive,0.024355150759220123,0.19035956263542175,0.29516494274139404,0.33057230710983276,0.33057230710983276
8822,Garden,68694,Sevin Insect Killer,https://www.homedepot.com/p/Sevin-16-oz-Insect-Killer-Concentrate-100530122/308861793,Homedepot,GardenTech,308861793,303593722,Yes,2021-07-15T00:00:00,2021,7,28,Maybe,Trying your pro duct first time on berry bushes and veggie garden ls sevin safe to use on these applications especially when fruits and veggies are ripe? Thank Jim.,syndicated reviews,12.35,3,0,0,0,No,trying your pro duct first time on berry bushes and veggie garden ls sevin safe to use on these applications especially when fruits and veggies are ripe? thank jim.,2021-07-15,29,Positive,0.10578852891921997,0.04180093854665756,0.026969831436872482,0.15344621241092682,0.15344621241092682
20554,Garden,132212,Sevin Insect Killer,http://www.homedepot.com/p/303593722,Homedepot,GardenTech,100598614,303593722,Yes,2022-05-31T00:00:00,2022,5,22,Off/ on versus off/rinse/clean,Glitch in the matrix! Manufacture error. Not on all bottles. Note:. Rinse setting bypasses Sevin and is plain water. Clean is setting where Sevin and water mix to spray. This ends my Ted talk.,organic reviews,7.49,4,0,0,0,No,glitch in the matrix! manufacture error. not on all bottles. note:. rinse setting bypasses sevin and is plain water. clean is setting where sevin and water mix to spray. this ends my ted talk.,2022-05-31,34,Negative,0.11426225304603577,0.006176341325044632,0.052828557789325714,0.013986733742058277,0.11426225304603577
878,Garden,5542,Root Boost Rooting Hormone 2oz. Bottle,https://www.amazon.com/dp/B0068IS16S,Amazon,GardenTech,B0068IS16S,B0068IS16S,No,2021-06-24T00:00:00,2021,6,25,didnt root peach tree or grape vine cuttings after 2 months,"I was dreaming of having too many cuttings to plant in the yard. Instead all my cuttings just perished after two months of being submersed in containers of soil with rooting powder on plant and containers in water. I think the product is ok, but the product needs to stick to the plant to work. It wont stick.",organic reviews,8.96,1,0,0,0,No,"i was dreaming of having too many cuttings to plant in the yard. instead all my cuttings just perished after two months of being submersed in containers of soil with rooting powder on plant and containers in water. i think the product is ok, but the product needs to stick to the plant to work. it wont stick.",2021-06-24,58,Negative,0.2779436409473419,0.03406776860356331,0.02254279889166355,0.03266241028904915,0.2779436409473419
20277,Garden,131906,Sevin Ready-to-Use 1.33 gal.,http://www.homedepot.com/p/303593722,Homedepot,GardenTech,311707480,303593722,Yes,2022-05-16T00:00:00,2022,5,20,Good product,[This review was collected as part of a promotion.] I only used the product once so far. It seems like it worked ok. I have a freshly planted veggie garden. So its hard to tell how effective it is this early on.,syndicated reviews,19.98,4,0,0,0,Yes,[this review was collected as part of a promotion.] i only used the product once so far. it seems like it worked ok. i have a freshly planted veggie garden. so its hard to tell how effective it is this early on.,2022-05-16,42,Positive,0.3531462848186493,0.3709131181240082,0.37537720799446106,0.5123347640037537,0.5123347640037537
19460,Garden,130967,Sevin Insect Killer Ready to Use2 Quart,http://www.homedepot.com/p/317814883,Homedepot,GardenTech,317814883,317814883,No,2022-05-30T00:00:00,2022,5,22,GardenTech Sevin Insect Killer Ready test,[This review was collected as part of a promotion.] GardenTech Sevin Insect Killer Ready was not exceptionally good in my climate of Miami. i have had a lot of rain and humidity in my garden but Im always willing to try new product.,syndicated reviews,14.97,4,1,0,0,Yes,[this review was collected as part of a promotion.] gardentech sevin insect killer ready was not exceptionally good in my climate of miami. i have had a lot of rain and humidity in my garden but im always willing to try new product.,2022-05-30,43,Negative,0.6549976468086243,0.0037703237030655146,0.003385020885616541,0.04067472368478775,0.6549976468086243
9032,Garden,68904,Sevin Insect Killer,https://www.homedepot.com/p/Sevin-32-oz-Insect-Killer-Ready-To-Use-100047720/100598614,Homedepot,GardenTech,100598614,303593722,Yes,2021-09-23T00:00:00,2021,9,38,It doesnt work. I have seen bugs after three days...,It doesnt work. I have seen bugs after three days of using,organic reviews,7.49,2,0,0,0,No,it doesnt work. i have seen bugs after three days of using,2021-09-23,12,Negative,0.6911386847496033,0.002013501012697816,0.005008707754313946,0.003180347615852952,0.6911386847496033
2149,Garden,18176,Sevin Ready-to-Use 1.33 gal.,http://www.homedepot.com/p/t/311707480,Homedepot,GardenTech,311707480,303593722,Yes,2021-06-02T00:00:00,2021,6,22,Work but if you need spray under the leave the...,Work but if you need spray under the leave the sprayer dont have enough pressure and the angle to reach all leaves of the plant.,organic reviews,23.02,4,0,0,0,No,work but if you need spray under the leave the sprayer dont have enough pressure and the angle to reach all leaves of the plant.,2021-06-02,25,Neutral,0.5851336121559143,0.004150025546550751,0.02030056342482567,0.00043079553870484233,0.5851336121559143
972,Garden,6102,Sevin Insect Killer Dust 3 lb. Bifenthrin,https://www.amazon.com/Sevin-100517556-Ready-Use-White/dp/B006O8OWFG,Amazon,GardenTech,B006O8OWFG,B006O8OWFG,No,2021-07-29T00:00:00,2021,7,30,Great product. To bad its been discontinued.,Great product. To bad its been discontinued,organic reviews,0.0,5,0,0,0,No,great product. to bad its been discontinued,2021-07-29,7,Negative,0.6114090085029602,0.029424604028463364,0.5589857697486877,0.3796059191226959,0.6114090085029602
12967,Garden,77006,Root Boost Rooting Hormone 2oz. Bottle,https://www.amazon.com/dp/B0068IS16S,Amazon,GardenTech,B0068IS16S,B0068IS16S,No,2022-03-19T00:00:00,2022,3,11,Was impossible to use as directions,I know it was only 2oz BUT it was so far down the container (one inch from bottom) it was so hard to do as directed.,organic reviews,5.75,1,0,0,0,No,i know it was only 2oz but it was so far down the container (one inch from bottom) it was so hard to do as directed.,2022-03-19,26,Negative,0.4739295542240143,0.00033493517548777163,0.0061545358039438725,0.000424977537477389,0.4739295542240143
2325,Garden,19929,Sevin Concentrate Bug Killer 32 oz.,http://www.homedepot.com/p/t/303593798,Homedepot,GardenTech,303593798,303593722,Yes,2021-10-14T00:00:00,2021,10,41,Probably not again,Im sure the chemicals work just fine however no matter how I use the ready to spray it was spraying back on me when attached to the hose. I had as much on me as the yard!!,syndicated reviews,15.83,1,1,0,0,No,im sure the chemicals work just fine however no matter how i use the ready to spray it was spraying back on me when attached to the hose. i had as much on me as the yard!!,2021-10-14,37,Neutral,0.4101753532886505,0.003973957616835833,0.20706988871097565,0.001981867477297783,0.4101753532886505
8980,Garden,68852,Sevin Insect Killer,https://www.homedepot.com/p/Sevin-32-oz-Insect-Killer-Ready-To-Use-100047720/100598614,Homedepot,GardenTech,100598614,303593722,Yes,2021-06-25T00:00:00,2021,6,25,Went thru half a bottle on all my trees and...,Went thru half a bottle on all my trees and I still have issues with bugs eating my fruit and veggies. And no the veggies are not on the trees.,organic reviews,7.49,3,0,0,0,No,went thru half a bottle on all my trees and i still have issues with bugs eating my fruit and veggies. and no the veggies are not on the trees.,2021-06-25,30,Negative,0.554288387298584,0.019168874248862267,0.1451846957206726,0.0011024189880117774,0.554288387298584
2377,Garden,20276,Sevin Lawn Insect Granules 10 lb.,http://www.homedepot.com/p/t/304779519,Homedepot,GardenTech,304779519,304779519,Yes,2021-07-28T00:00:00,2021,7,30,Not  as good  as the  white...,Not  as good  as the  white,organic reviews,9.98,2,0,0,0,No,not  as good  as the  white,2021-07-28,9,Negative,0.2594811022281647,0.005688576493412256,0.006558574270457029,0.02556424029171467,0.2594811022281647
27522,Garden,143454,Sevin Ready-to-Use 1 gal.,https://www.lowes.com/pd/Sevin-1-Gallon-Garden-Insect-Killer/50261725,Lowes,GardenTech,50261725,50261725,No,2022-06-15T00:00:00,2022,6,24,Meeeeh,[This review was collected as part of a promotion.] It did not work for me. Had high hopes for this product but sadly it did not work.,syndicated reviews,16.98,3,0,0,0,Yes,[this review was collected as part of a promotion.] it did not work for me. had high hopes for this product but sadly it did not work.,2022-06-15,27,Negative,0.6939789652824402,0.2614594101905823,0.020732371136546135,0.2751367390155792,0.6939789652824402
23978,Garden,136084,Sevin Insect Killer Ready to Use2 1.33 Gal,https://www.lowes.com/pd/Sevin-Ready-to-Use-1-33-Gallon-Garden-Insect-Killer/1001413712,Lowes,GardenTech,1001413712,1001413712,No,2022-05-16T00:00:00,2022,5,20,Good product,[This review was collected as part of a promotion.] I only used the product once so far. It seems like it worked ok. I have a freshly planted veggie garden. So its hard to tell how effective it is this early on.,syndicated reviews,22.98,4,0,0,0,Yes,[this review was collected as part of a promotion.] i only used the product once so far. it seems like it worked ok. i have a freshly planted veggie garden. so its hard to tell how effective it is this early on.,2022-05-16,42,Positive,0.3531462848186493,0.3709131181240082,0.37537720799446106,0.5123347640037537,0.5123347640037537
20364,Garden,131998,Sevin Insect Killer,http://www.homedepot.com/p/303593722,Homedepot,GardenTech,308861793,303593722,Yes,2022-05-31T00:00:00,2022,5,22,Off/ on versus off/rinse/clean,Glitch in the matrix! Manufacture error. Not on all bottles. Note:. Rinse setting bypasses Sevin and is plain water. Clean is setting where Sevin and water mix to spray. This ends my Ted talk.,organic reviews,12.35,4,0,0,0,No,glitch in the matrix! manufacture error. not on all bottles. note:. rinse setting bypasses sevin and is plain water. clean is setting where sevin and water mix to spray. this ends my ted talk.,2022-05-31,34,Negative,0.11426225304603577,0.006176341325044632,0.052828557789325714,0.013986733742058277,0.11426225304603577
5009,Garden,56869,Sevin Ready-to-Spray Bug Killer 32 oz. ,https://www.lowes.com/pd/Sevin-1-Quart-Garden-Insect-Killer/1000477903,Lowes,GardenTech,1000477903,1000477903,No,2021-07-17T00:00:00,2021,7,28,Worst container,"Could not  control off and on. Turn off, set it down and it would turn on full blast.",organic reviews,13.98,1,1,0,2,No,"could not  control off and on. turn off, set it down and it would turn on full blast.",2021-07-17,19,Negative,0.6428823471069336,0.00410225335508585,0.2059711217880249,0.0006721706013195217,0.6428823471069336
8801,Garden,68673,Sevin Insect Killer,https://www.homedepot.com/p/Sevin-16-oz-Insect-Killer-Concentrate-100530122/308861793,Homedepot,GardenTech,308861793,303593722,Yes,2021-07-17T00:00:00,2021,7,28,doesnt work as i expected...,doesnt work as i expected,organic reviews,12.35,1,0,0,0,No,doesnt work as i expected,2021-07-17,5,Negative,0.5364339351654053,0.0007603220292367041,0.0018626543460413814,0.0018131476826965809,0.5364339351654053
27812,Garden,143748,Sevin Insect Killer Ready to Use,https://www.lowes.com/pd/Sevin-Sevin-Insect-Killer-1-Gallon-RTU-Lambda/5005469013,Lowes,GardenTech,5005469013,5005469013,No,2022-06-15T00:00:00,2022,6,24,Meeeeh,[This review was collected as part of a promotion.] It did not work for me. Had high hopes for this product but sadly it did not work.,syndicated reviews,16.02,3,0,0,0,Yes,[this review was collected as part of a promotion.] it did not work for me. had high hopes for this product but sadly it did not work.,2022-06-15,27,Negative,0.6939789652824402,0.2614594101905823,0.020732371136546135,0.2751367390155792,0.6939789652824402
