,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost_m,efficient_m,effective_m,ease of use_m,max
25910,Garden,141842,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-06-13T00:00:00,2022,6,24,Works good but messy,[This review was collected as part of a promotion.] The product seems to work great on killing the grass that we dont want but when we applied it the bottle didnt seem to hook up to the water hose fully so there was water spraying everywhere it was just a huge mess.,syndicated reviews,15.47,4,0,0,0,Yes,[this review was collected as part of a promotion.] the product seems to work great on killing the grass that we dont want but when we applied it the bottle didnt seem to hook up to the water hose fully so there was water spraying everywhere it was just a huge mess.,2022-06-13,52,Negative,0.3712479770183563,0.00380623247474432,0.28145164251327515,0.00725941639393568,0.3712479770183563
2314,Garden,19469,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/t/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2021-07-16T00:00:00,2021,7,28,Im going to repeat the treatment. Maybe this time itll...,Im going to repeat the treatment. Maybe this time itll kill them all.,organic reviews,14.97,4,0,0,0,No,im going to repeat the treatment. maybe this time itll kill them all.,2021-07-16,13,Negative,0.5725730061531067,0.3720513880252838,0.6524001955986023,0.02116175927221775,0.6524001955986023
14864,Garden,90148,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-04-14T00:00:00,2022,4,15,Results were not good sprayed yard and two weeks later...,Results were not good sprayed yard and two weeks later still purple weeds growing strong,organic reviews,15.47,1,0,0,0,No,results were not good sprayed yard and two weeks later still purple weeds growing strong,2022-04-14,15,Negative,0.6974613070487976,0.0014144317246973515,0.001520825084298849,0.00010495349852135405,0.6974613070487976
1667,Garden,12360,Image Kills Nutsedge Concentrate,http://www.homedepot.com/p/t/100175861,Homedepot,ImageforWeeds,100175861,100175861,Yes,2021-08-21T00:00:00,2021,8,33,Not convinced,"Used this for nutsedge about 8 weeks ago. Nothing was killed and it us growing out of control. Will try once more, as this is the only product I found that specifically mentioned nutsedge. Frustrated!",syndicated reviews,20.97,2,0,0,0,No,"used this for nutsedge about 8 weeks ago. nothing was killed and it us growing out of control. will try once more, as this is the only product i found that specifically mentioned nutsedge. frustrated!",2021-08-21,35,Negative,0.596717894077301,0.027183106169104576,0.09262111037969589,0.06407833099365234,0.596717894077301
17030,Garden,110604,Image Kills Nutsedge Ready-to-Spray,http://www.homedepot.com/p/100175861,Homedepot,ImageforWeeds,100598623,100175861,Yes,2022-05-05T00:00:00,2022,5,18,Too soon to say for sure that the product will...,Too soon to say for sure that the product will perform as advertised; but we are still hopeful.,organic reviews,22.26,4,0,0,0,No,too soon to say for sure that the product will perform as advertised; but we are still hopeful.,2022-05-05,18,Positive,0.33675500750541687,0.07267680764198303,0.09176311641931534,0.2835436761379242,0.33675500750541687
2304,Garden,19408,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/t/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2021-07-28T00:00:00,2021,7,30,"Its works, but doesnt kill what it need it to...","Its works, but doesnt kill what it need it to do. I have a Lot of crab grass.",organic reviews,14.97,3,0,0,0,No,"its works, but doesnt kill what it need it to do. i have a lot of crab grass.",2021-07-28,18,Neutral,0.5375783443450928,0.11169935017824173,0.2746809124946594,0.054225169122219086,0.5375783443450928
25911,Garden,141843,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-06-27T00:00:00,2022,6,26,Not sure of effectiveness on young plants,"[This review was collected as part of a promotion.] I received this to sample in mid-June. Our weeds are already established here in N Texas by this time, but I tried the spray anyway. It did seem to kill what was above ground, but the roots are pretty deep already here, so it did not kill it off completely. I hope to try again in the early spring when it will be more beneficial.",syndicated reviews,15.47,3,0,0,0,Yes,"[this review was collected as part of a promotion.] i received this to sample in mid-june. our weeds are already established here in n texas by this time, but i tried the spray anyway. it did seem to kill what was above ground, but the roots are pretty deep already here, so it did not kill it off completely. i hope to try again in the early spring when it will be more beneficial.",2022-06-27,74,Neutral,0.637173056602478,0.4550095498561859,0.45514264702796936,0.24444232881069183,0.637173056602478
2427,Garden,21040,Image for Weeds Southern Lawn Weed Killer for St. Augustinegrass and Centipedegrass Ready-to-Spray,http://www.homedepot.com/p/t/303594294,Homedepot,ImageforWeeds,303594294,303594294,Yes,2021-09-27T00:00:00,2021,9,39,"Great product, terrible applicator","The product does a great job on our St. Aug lawn, but the new purple ""squarish"" applicator doesnt work.  It filled the bottle with water and I have no idea if it sprayed any product at all.  I now have a watered down bottle of some amount of herbicide.",organic reviews,11.97,2,0,0,0,No,"the product does a great job on our st. aug lawn, but the new purple ""squarish"" applicator doesnt work.  it filled the bottle with water and i have no idea if it sprayed any product at all.  i now have a watered down bottle of some amount of herbicide.",2021-09-27,51,Negative,0.6829246878623962,0.016902362927794456,0.2337917685508728,0.10141018778085709,0.6829246878623962
25899,Garden,141831,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-06-13T00:00:00,2022,6,24,"Im sure it works, but...","[This review was collected as part of a promotion.] I was excited to receive this free product in exchange for a review and Im sure it works great, but unfortunately I received this in June in Texas and the product requires the temperature to be below 90 F. Therefore, I will be unable to actually use the product before the season changes from Summer to Not-Quite Summer in October here in Texas.",syndicated reviews,15.47,4,0,0,0,Yes,"[this review was collected as part of a promotion.] i was excited to receive this free product in exchange for a review and im sure it works great, but unfortunately i received this in june in texas and the product requires the temperature to be below 90 f. therefore, i will be unable to actually use the product before the season changes from summer to not-quite summer in october here in texas.",2022-06-13,72,Neutral,0.20748209953308105,0.16791531443595886,0.5057163834571838,0.2746117413043976,0.5057163834571838
20706,Garden,132392,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670269,311670269,Yes,2022-05-19T00:00:00,2022,5,20,It is very slow to work.  I find I...,It is very slow to work.  I find I have to use it several times before it works.  If there was another product to use I would switch.,organic reviews,15.47,3,0,0,0,No,it is very slow to work.  i find i have to use it several times before it works.  if there was another product to use i would switch.,2022-05-19,30,Negative,0.628677248954773,0.0028347764164209366,0.09428508579730988,0.0038335477001965046,0.628677248954773
13682,Garden,78355,Image for Weeds Southern Lawn Weed Killer for St. Augustinegrass and Centipedegrass Ready-to-Spray,https://www.lowes.com/pd/IMAGE-Southern-Lawn-32-fl-oz-Lawn-Weed-Killer/1000595013,Lowes,ImageforWeeds,1000595013,1000595013,No,2022-03-26T00:00:00,2022,3,12,Defective sprayer,Product reviews were great so I decided to try. Despite repeated attempts product doesnt spray due to defective bottle. I returned product and got another bottle. I will try once more before going to another brand that dispenses its product.,syndicated reviews,14.18,1,0,0,0,No,product reviews were great so i decided to try. despite repeated attempts product doesnt spray due to defective bottle. i returned product and got another bottle. i will try once more before going to another brand that dispenses its product.,2022-03-26,40,Positive,0.6433348655700684,0.025205086916685104,0.020945850759744644,0.15402550995349884,0.6433348655700684
15634,Garden,100229,Image Kills Nutsedge Ready-to-Spray,http://www.homedepot.com/p/100175861,Homedepot,ImageforWeeds,100598623,100175861,Yes,2022-04-20T00:00:00,2022,4,16,Unsure,"Unable to determine if it killed out our poa annua, may need multiple applications.",organic reviews,24.56,4,0,0,0,No,"unable to determine if it killed out our poa annua, may need multiple applications.",2022-04-20,14,Negative,0.3607087731361389,0.0065455324947834015,0.04439885541796684,0.0004929496208205819,0.3607087731361389
26223,Garden,142155,IMAGE Lawn Weed & Crabgrass Killer Concentrate ,http://www.homedepot.com/p/311670269,Homedepot,ImageforWeeds,311670295,311670269,Yes,2022-06-27T00:00:00,2022,6,26,Somewhat works,[This review was collected as part of a promotion.] It kills some grasses and product gets gone fast mabey if put in a bug sprayer and dilluted itd last longer.,syndicated reviews,13.47,3,0,0,0,Yes,[this review was collected as part of a promotion.] it kills some grasses and product gets gone fast mabey if put in a bug sprayer and dilluted itd last longer.,2022-06-27,30,Negative,0.4852704703807831,0.0310770682990551,0.22167284786701202,0.026657963171601295,0.4852704703807831
