,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use,effectiveness,efficiency,Unnamed: 31
4790,Garden,52479,AMDRO Fire Ant Bait 1lb,https://www.lowes.com/pd/AMDRO-1-lb-Fire-Ant-Bait/4573846,Lowes,Amdro,4573846,3006355,Yes,2021-08-31T00:00:00,2021,8,35,Try a little before you use the entire thing,It didnt work. The ants didnt even bother eating it.,organic reviews,10.07,1,0,0,0,No,it didnt work. the ants didnt even bother eating it.,2021-08-31,10,,,,,,
2772,Garden,24208,AMDRO Mouse Trap ,https://www.homedepot.com/p/AMDRO-Mouse-Trap-100534972/306335043,Homedepot,Amdro,306335043,306335043,No,2021-09-08T00:00:00,2021,9,36,Only one reason for not giving five stars,"This mouse trap works phenomenally! I had tried a few different types of traps last year and my peanut butter would disappear, but there were no mice. I bought this trap, and voila! Today, I heard a mouse in my basement ceiling. I set a trap early this evening and the problem is already resolved. The only reason I didnt give five stars is because I cant find replacement bands at the stores where the traps are sold. I dont need ten traps laying around my house, I just need more bands!",syndicated reviews,6.98,4,0,0,0,No,"this mouse trap works phenomenally! i had tried a few different types of traps last year and my peanut butter would disappear, but there were no mice. i bought this trap, and voila! today, i heard a mouse in my basement ceiling. i set a trap early this evening and the problem is already resolved. the only reason i didnt give five stars is because i cant find replacement bands at the stores where the traps are sold. i dont need ten traps laying around my house, i just need more bands!",2021-09-08,92,positive,,,1.0,1.0,
25874,Garden,141806,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Foam",http://www.homedepot.com/p/305448729,Homedepot,Amdro,305448910,305448729,Yes,2022-06-10T00:00:00,2022,6,23,Excellent product! I normally have to battle keeping carpenter bees...,"Excellent product! I normally have to battle keeping carpenter bees from digging their yearly tunnels, but this year I tried AMBRO and I have not seen a carpenter bee around my wooden fence since and I used this product in late April/early May. Thank you AMBRO for saving me the trouble of filling in those tunnels with steel wool and wooden dowels.",organic reviews,10.46,5,0,0,0,No,"excellent product! i normally have to battle keeping carpenter bees from digging their yearly tunnels, but this year i tried ambro and i have not seen a carpenter bee around my wooden fence since and i used this product in late april/early may. thank you ambro for saving me the trouble of filling in those tunnels with steel wool and wooden dowels.",2022-06-10,62,positive,,,1.0,,
18726,Garden,130119,AMDRO Quick Kill Mosquito Bombs,https://www.amazon.com/dp/B07G1YXZ9Y,Amazon,Amdro,B07G1YXZ9Y,B07G1YXZ9Y,No,2022-05-27T00:00:00,2022,5,21,Not killing larvae,Ive purchased these before and they have worked great. This batch is not working at all.,organic reviews,9.93,1,0,0,0,No,ive purchased these before and they have worked great. this batch is not working at all.,2022-05-27,16,negative,,,1.0,,
8656,Garden,68528,AMDRO Ant Block Home Perimeter Ant Bait,https://www.homedepot.com/p/AMDRO-12-oz-Ant-Block-Home-Perimeter-Ant-Killer-Bait-100099307/305448482,Homedepot,Amdro,305448482,100598633,Yes,2021-07-09T00:00:00,2021,7,27,Works great on all kinds of ants. Even takes out carpenter ants!,Works great on all kinds of ants. Even takes out carpenter ants!,organic reviews,8.62,5,0,0,1,No,works great on all kinds of ants. even takes out carpenter ants!,2021-07-09,12,positive,,,1.0,,
18948,Garden,130402,AMDRO Quick Kill Home Perimeter Insect Killer Granules 2lb,http://www.homedepot.com/p/305448975,Homedepot,Amdro,305448975,305448975,No,2022-05-12T00:00:00,2022,5,19,Easy to use.  Great price.....works well,Easy to use.  Great price.....works well,organic reviews,8.72,5,0,0,0,No,easy to use.  great price.....works well,2022-05-12,7,positive,1.0,1.0,1.0,,
2086,Garden,17867,AMDRO Gopher Gasser 6-pack,http://www.homedepot.com/p/t/203031283,Homedepot,Amdro,203031283,203031283,No,2021-06-10T00:00:00,2021,6,23,helped with most moles!,[This review was collected as part of a promotion.] I purchased the amdro gopher gasser to help with the mole issue in our yard. they are causing so many holes and destruction. The process was a bit tedious but I get why. there were a few good videos showing how to use the product and if helped me alot. most of the mole holes have stopped. happy to try and get my yard back!,syndicated reviews,7.91,4,0,0,0,Yes,[this review was collected as part of a promotion.] i purchased the amdro gopher gasser to help with the mole issue in our yard. they are causing so many holes and destruction. the process was a bit tedious but i get why. there were a few good videos showing how to use the product and if helped me alot. most of the mole holes have stopped. happy to try and get my yard back!,2021-06-10,74,positive,,1.0,1.0,,
24210,Garden,140140,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2022-06-06T00:00:00,2022,6,23,Spray is much better,Didnt appear to be effective,organic reviews,8.99,3,0,0,0,No,didnt appear to be effective,2022-06-06,5,negative,,,1.0,,
1898,Garden,14982,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/t/100598633,Homedepot,Amdro,100598633,100598633,Yes,2021-08-14T00:00:00,2021,8,32,"Really works, easy to use...","Really works, easy to use",organic reviews,14.47,5,0,0,0,No,"really works, easy to use",2021-08-14,5,positive,,1.0,1.0,,
4882,Garden,55697,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.lowes.com/pd/AMDRO-Ant-Block-24-oz-Ant-Killer/1000044709,Lowes,Amdro,1000044709,1000044709,No,2021-08-08T00:00:00,2021,8,31,Any Block,I got this yesterday and put out around the house and pool decking. We had ants all in our kitchen and pool deck and patio. This morning I cant find a single ant!!!! Not even one. This stuff is amazing. Had to buy two for the house and need one more to go around my trees and along my driveway but its amazing,organic reviews,9.47,5,0,0,1,No,i got this yesterday and put out around the house and pool decking. we had ants all in our kitchen and pool deck and patio. this morning i cant find a single ant!!!! not even one. this stuff is amazing. had to buy two for the house and need one more to go around my trees and along my driveway but its amazing,2021-08-08,63,positive,,,1.0,1.0,
