,Unnamed: 0.1,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,cost_m,efficient_m,effective_m,ease of use_m,sentiment
0,8084,Garden,67956,"Eliminator Ready-to-Use Weed & Grass Killer Herbicide, 24 fl oz bottle",https://www.walmart.com//ip/Eliminator-Ready-to-Use-Weed-Grass-Killer-Herbicide-24-fl-oz-bottle/490858787?selected=true,Walmart,Eliminator,490858787,599339955,No,2021-07-30T00:00:00,2021,7,30,JUST AS GOOD AS ROUND UP AT A LOT LESS EXPENSE!!,tHIS WORKS GREAT FOR KEEPING THE BRASS FROM GROWING UP IN BETWEEN THE ROCKS ON THE DRIVEWAY AND AROUND THE CULVERTS  AND EDGES.,organic reviews,2.88,5,0,0,0,No,this works great for keeping the brass from growing up in between the rocks on the driveway and around the culverts  and edges.,2021-07-30,24,0.2517414391040802,0.998199462890625,0.9996437430381775,0.37608447670936584,Positive
1,1654,Garden,12228,IMAGE Herbicide Brush & Vine Killer Concentrate,http://www.homedepot.com/p/t/100201080,Homedepot,Image for Weeds,100201080,100201080,No,2021-06-25T00:00:00,2021,6,25,waiting for it to work.  Will write more later...,waiting for it to work.  Will write more later,organic reviews,20.44,3,0,0,0,No,waiting for it to work.  will write more later,2021-06-25,10,0.32573023438453674,0.02755625918507576,0.012378289364278316,0.09556107968091965,Positive
2,25926,Garden,141858,IMAGE Lawn Weed & Crabgrass Killer Ready-To-Spray,http://www.homedepot.com/p/311670269,Homedepot,Image for Weeds,311670269,311670269,Yes,2022-06-27T00:00:00,2022,6,26,Amazing,[This review was collected as part of a promotion.] Grass grows fast and a lot of weeds. This works excellent in killing the weeds out. Definitely recommend . . It was easy to use just hook it to a hose and start spray. I had a section of grass that had weeds through out it ..,syndicated reviews,15.47,5,2,0,0,Yes,[this review was collected as part of a promotion.] grass grows fast and a lot of weeds. this works excellent in killing the weeds out. definitely recommend . . it was easy to use just hook it to a hose and start spray. i had a section of grass that had weeds through out it ..,2022-06-27,56,0.5315248966217041,0.9984598755836487,0.9994766712188721,0.9992561340332031,Positive
3,13757,Garden,78430,Lawn Booster Sun & Shade 9.6lb bag,https://www.walmart.com//ip/Pennington-Lawn-Booster-Sun-Shade-Grass-Seed-and-Fertilizer-Mix-9-6-lb/577439020?selected=true,Walmart,Pennington Grass,577439020,577439020,Yes,2022-03-25T00:00:00,2022,3,12,Smart garden product,I received product reimbursement in exchange for my honest review I purchased this to replenish around my daughters new above ground pool. The soil was poor and it needed to be enriched quickly to eliminate the muddy mess left from the installers. So far so good. It covered a nice area and we expect it to perform as suggested. Nice to have seed and fertilizer and enrichment all together in one product.,organic reviews,16.88,4,0,0,0,No,i received product reimbursement in exchange for my honest review i purchased this to replenish around my daughters new above ground pool. the soil was poor and it needed to be enriched quickly to eliminate the muddy mess left from the installers. so far so good. it covered a nice area and we expect it to perform as suggested. nice to have seed and fertilizer and enrichment all together in one product.,2022-03-25,72,0.7166505455970764,0.9683879613876343,0.9963634610176086,0.7747487425804138,Positive
4,9602,Garden,70299,Annual Ryegrass 50lb bag,http://www.homedepot.com/p/100333277,Homedepot,Pennington Grass,100333280,100333277,Yes,2021-12-17T00:00:00,2021,12,50,Fall over seeding,Apperently applied to late for over seeding on a hill and seed didnt germinate.,organic reviews,66.97,3,0,0,0,No,apperently applied to late for over seeding on a hill and seed didnt germinate.,2021-12-17,14,0.5126703381538391,0.004040829371660948,0.1070140153169632,0.0005987819167785347,Neutral
5,10618,Garden,72210,Image Herbicide for St. Augustinegrass & Centipedegrass Concentrate,http://www.homedepot.com/p/303594294,Homedepot,Image for Weeds,303594320,303594294,Yes,2022-01-12T00:00:00,2022,1,2,Didnt kill the clover as advertised...,Didnt kill the clover as advertised,organic reviews,10.32,1,0,0,0,No,didnt kill the clover as advertised,2022-01-12,6,0.48484867811203003,0.6617617607116699,0.1412711888551712,0.24142540991306305,Negative
6,6468,Garden,66306,Pennington Classic Wild Bird Feed 20lb,https://www.walmart.com//ip/Pennington-Classic-Wild-Bird-Feed-and-Seed-20-lb-Bag/17256227?selected=true,Walmart,Pennington Bird,17256227,16794608,Yes,2021-08-05T00:00:00,2021,8,31,Keeping birds,Our outdoor visitors love it.,organic reviews,10.97,5,0,0,0,No,our outdoor visitors love it.,2021-08-05,5,0.05899190902709961,0.8043283820152283,0.9905086755752563,0.8223994970321655,Positive
7,13483,Garden,78156,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,http://www.homedepot.com/p/205561089,Homedepot,Pennington Fertilizer,205561089,205561089,Yes,2022-03-22T00:00:00,2022,3,12,Ironite 15 lbs. Mineral Supplement,"The Ironite 15 lbs. mineral supplement will help your grass, shrubs, plants and bushes turn green for you.",organic reviews,18.98,5,0,0,0,No,"the ironite 15 lbs. mineral supplement will help your grass, shrubs, plants and bushes turn green for you.",2022-03-22,18,0.49647560715675354,0.831219494342804,0.9952847361564636,0.27912306785583496,Positive
8,21103,Garden,132860,Pennington Wild Bird Food Blend Bucket,http://www.homedepot.com/p/312026384,Homedepot,Pennington Bird,312026398,312026384,Yes,2022-05-20T00:00:00,2022,5,20,Came in convenient size bag. Only problem the birds (all...,Came in convenient size bag. Only problem the birds (all kinds) really love it :),organic reviews,22.98,5,0,0,0,No,came in convenient size bag. only problem the birds (all kinds) really love it :),2022-05-20,15,0.14243313670158386,0.3842284083366394,0.16788466274738312,0.2969413995742798,Positive
9,27664,Garden,143597,Sevin Ready to Use  5% Dust 1 lb. 3-Pack,https://www.lowes.com/pd/Sevin-5-Dust-1-lb-Garden-Insect-Killer-3-Pack/1000481173,Lowes,GardenTech,1000481173,1000481173,Yes,2022-06-28T00:00:00,2022,6,26,Effective and safe!,[This review was collected as part of a promotion.] This definitely kept the bug away without sacrificing the quality of our produce/veggies in the garden!,organic reviews,14.98,4,0,0,0,Yes,[this review was collected as part of a promotion.] this definitely kept the bug away without sacrificing the quality of our produce/veggies in the garden!,2022-06-28,25,0.13479198515415192,0.998100757598877,0.9993979334831238,0.9243763089179993,Positive
