,Unnamed: 0.1,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,cost_m,efficient_m,effective_m,ease of use_m,sentiment
1,1654,Garden,12228,IMAGE Herbicide Brush & Vine Killer Concentrate,http://www.homedepot.com/p/t/100201080,Homedepot,Image for Weeds,100201080,100201080,No,2021-06-25T00:00:00,2021,6,25,waiting for it to work.  Will write more later...,waiting for it to work.  Will write more later,organic reviews,20.44,3,0,0,0,No,waiting for it to work.  will write more later,2021-06-25,10,0.3257302343845367,0.0275562591850757,0.0123782893642783,0.0955610796809196,Positive
4,9602,Garden,70299,Annual Ryegrass 50lb bag,http://www.homedepot.com/p/100333277,Homedepot,Pennington Grass,100333280,100333277,Yes,2021-12-17T00:00:00,2021,12,50,Fall over seeding,Apperently applied to late for over seeding on a hill and seed didnt germinate.,organic reviews,66.97,3,0,0,0,No,apperently applied to late for over seeding on a hill and seed didnt germinate.,2021-12-17,14,0.5126703381538391,0.0040408293716609,0.1070140153169632,0.0005987819167785,Neutral
5,10618,Garden,72210,Image Herbicide for St. Augustinegrass & Centipedegrass Concentrate,http://www.homedepot.com/p/303594294,Homedepot,Image for Weeds,303594320,303594294,Yes,2022-01-12T00:00:00,2022,1,2,Didnt kill the clover as advertised...,Didnt kill the clover as advertised,organic reviews,10.32,1,0,0,0,No,didnt kill the clover as advertised,2022-01-12,6,0.48484867811203,0.6617617607116699,0.1412711888551712,0.241425409913063,Negative
8,21103,Garden,132860,Pennington Wild Bird Food Blend Bucket,http://www.homedepot.com/p/312026384,Homedepot,Pennington Bird,312026398,312026384,Yes,2022-05-20T00:00:00,2022,5,20,Came in convenient size bag. Only problem the birds (all...,Came in convenient size bag. Only problem the birds (all kinds) really love it :),organic reviews,22.98,5,0,0,0,No,came in convenient size bag. only problem the birds (all kinds) really love it :),2022-05-20,15,0.1424331367015838,0.3842284083366394,0.1678846627473831,0.2969413995742798,Positive
12,11109,Garden,72701,Pennington Select Black Oil Sunflower Seed 20lb,https://www.walmart.com//ip/Pennington-Select-Black-Oil-Sunflower-Seed-Wild-Bird-Feed-20-lb-Bag/44496029?selected=true,Walmart,Pennington Bird,44496029,44496029,Yes,2022-01-10T00:00:00,2022,1,2,Not the best quality.,"Lots of debris, tiny sticks in with the seed. Disappointing.",organic reviews,14.12,2,0,0,0,No,"lots of debris, tiny sticks in with the seed. disappointing.",2022-01-10,10,0.2075870782136917,0.0002663438208401,0.0008859039517119,0.0001865318481577,Negative
21,3005,Garden,27884,Lawn Booster Sun & Shade 35lb bag,http://www.homedepot.com/p/t/311569529,Homedepot,Pennington Grass,311569529,311569530,Yes,2021-10-31T00:00:00,2021,10,43,Grass did not sprout tryed twice the first time I...,Grass did not sprout tryed twice the first time I was thinking it was to hot the last time my neighbor planted the same time his worked different grass seed,organic reviews,47.99,1,0,0,0,No,grass did not sprout tryed twice the first time i was thinking it was to hot the last time my neighbor planted the same time his worked different grass seed,2021-10-31,30,0.3268333375453949,0.0287796780467033,0.0182242430746555,0.0030194269493222,Neutral
24,27361,Garden,143293,Smart Seed Sun & Shade Mixture 3lb bag,http://www.homedepot.com/p/314933321,Homedepot,Pennington Grass,314933321,314933321,Yes,2022-06-30T00:00:00,2022,6,26,"Grass didnt grow, even with putting down mushroom soil and...","Grass didnt grow, even with putting down mushroom soil and watering....",organic reviews,12.94,2,0,0,0,No,"grass didnt grow, even with putting down mushroom soil and watering....",2022-06-30,11,0.344399631023407,0.0095905354246497,0.0139240780845284,0.0060724611394107,Negative
28,9100,Garden,68972,Kentucky 31 Tall Fescue,https://www.homedepot.com/p/Pennington-10-lbs-Kentucky-31-Tall-Fescue-Penkoted-Grass-Seed-100521768/204711466,Homedepot,Pennington Grass,204711466,306924565,Yes,2021-11-02T00:00:00,2021,11,44,Total coverage Misleading!!!!,"It states that it should cover about 4,000 sq ft. The total bag did not even cover 2,0000 sq ft.",organic reviews,21.98,3,0,0,0,No,"it states that it should cover about 4,000 sq ft. the total bag did not even cover 2,0000 sq ft.",2021-11-02,20,0.3874413669109344,0.0437957867980003,0.3585165441036224,0.0200867168605327,Negative
40,6737,Garden,66575,MOSS OUT! For Lawns 20 lb Granules ,https://www.walmart.com//ip/Lilly-Miller-Moss-Out-for-Lawns-With-10-Iron-20lb-Bag-Covers-5-000-sq-ft/16795015?selected=true,Walmart,Moss Out,16795015,16795015,No,2021-11-30T00:00:00,2021,11,48,moss out,[This review was collected as part of a promotion.] Received a large bag of this. Unable to test due to the season but am looking forward to trying this is the spring as we have multiple mossy spots in our yard!,organic reviews,14.97,4,0,0,0,Yes,[this review was collected as part of a promotion.] received a large bag of this. unable to test due to the season but am looking forward to trying this is the spring as we have multiple mossy spots in our yard!,2021-11-30,41,0.5255763530731201,0.5201213359832764,0.5465179681777954,0.6387205719947815,Positive
42,11743,Garden,73406,22.5 lbs. Wild Bird Food Blend Bucket,http://www.homedepot.com/p/312026384,Homedepot,Pennington Bird,312026398,312026384,Yes,2022-02-12T00:00:00,2022,2,6,The seeds had meldew...,The seeds had meldew,organic reviews,22.98,3,0,0,0,No,the seeds had meldew,2022-02-12,4,0.2088840007781982,0.0834490731358528,0.4916421771049499,0.004844213835895,Neutral
81,18839,Garden,130257,Smart Seed Sun & Shade Mixture 3lb bag,https://www.amazon.com/dp/B08QCRN569,Amazon,Pennington Grass,B08QCRN569,B08QCRN569,Yes,2022-05-14T00:00:00,2022,5,19,Not great germination.,Germination wasnt very good.,organic reviews,12.97,3,0,0,0,No,germination wasnt very good.,2022-05-14,4,0.3663806319236755,0.0013628437882289,0.0016817790456116,0.0003818834084086,Negative
99,12078,Garden,73741,"Pennington One Step Complete Tall Fescue Grass Seed, Patch and Repair; 10 lb.",https://www.walmart.com//ip/Pennington-One-Step-Complete-Tall-Fescue-Grass-Seed-Patch-and-Repair-10-lb/873777575?selected=true,Walmart,Pennington Grass,873777575,873777575,Yes,2022-02-15T00:00:00,2022,2,7,,Seem like it will be a good grass seed but to soon has not grown yet,organic reviews,15.94,5,0,0,0,No,seem like it will be a good grass seed but to soon has not grown yet,2022-02-15,16,0.145060583949089,0.0344572402536869,0.0425953157246112,0.0012709354050457,Neutral
112,16444,Garden,110018,One Step Complete Tall Fescue 5lb bag,https://www.amazon.com/dp/B084NS48VX,Amazon,Pennington Grass,B084NS48VX,B084NS48VX,Yes,2022-04-25T00:00:00,2022,4,17,Did not germinate,Raked the ground -- spread the seed -- lightly covered with Scotts topsoil - watered every day for a week --After three weeks not one seed germinated.alan,organic reviews,9.47,1,0,0,0,No,raked the ground -- spread the seed -- lightly covered with scotts topsoil - watered every day for a week --after three weeks not one seed germinated.alan,2022-04-25,27,0.4403426349163055,0.3007291853427887,0.6169334053993225,0.2105350345373153,Neutral
124,13434,Garden,78107,Image Kills Nutsedge Concentrate,http://www.homedepot.com/p/100175861,Homedepot,Image for Weeds,100175861,100175861,Yes,2022-03-22T00:00:00,2022,3,12,not as effective as it was promoted...,not as effective as it was promoted,organic reviews,20.47,2,0,0,0,No,not as effective as it was promoted,2022-03-22,7,0.3824601173400879,0.001586704631336,0.0036050854250788,0.0168995633721351,Negative
