,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,price_m,delivery_m,effectiveness_m,ease of use_m,sentiment
0,Garden,18667,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer RTU 1gal",https://www.homedepot.com/p/AMDRO-1-Gal-Quick-Kill-Carpenter-Bee-Ant-and-Termite-Killer-Ready-to-Use-100526850/305448789,Homedepot,Amdro,305448789,305448729,Yes,2021-07-09T00:00:00,2021,7,27,Why does every product need to be reviewed?...,Why does every product need to be reviewed?,organic reviews,12.77,4,0,0,0,No,why does every product need to be reviewed?,7/9/2021,8,0.0974500402808189,0.1368302851915359,0.1864937394857406,0.0082100164145231,Negative
1,Garden,67496,"Expert Gardener Indoor and Outdoor Potting Soil Mix, 2 cu. ft. Bag",https://www.walmart.com//ip/Expert-Gardener-Indoor-and-Outdoor-Potting-Soil-Mix-2-cu-ft-Bag/112134279?selected=true,Walmart,Expert Gardener,112134279,112490018,Yes,2021-08-14T00:00:00,2021,8,32,Wood pulp?,"I dont what this stuff is made of, but it feels like wood pulp and you can see bits of wood.  My tomatoes are not thriving.",organic reviews,9.97,1,0,0,0,No,"i dont what this stuff is made of, but it feels like wood pulp and you can see bits of wood.  my tomatoes are not thriving.",8/14/2021,27,0.0206767693161964,0.0160040836781263,0.1519066095352172,0.0078664319589734,Negative
3,Garden,23841,Fairway Supreme Perennial Ryegrass 25lb bag,http://www.homedepot.com/p/t/310825052,Homedepot,Pennington Grass,310825052,310825063,Yes,2021-11-23T00:00:00,2021,11,47,NEVER again!!!,Bout 50lb bag to oversees and 30 days later still extremely spotty to nonexistent germination. Fertilized and watered twice a day for the past 30 days. Followed every bit of detail and instruction on the bag.,syndicated reviews,66.97,1,0,0,0,No,bout 50lb bag to oversees and 30 days later still extremely spotty to nonexistent germination. fertilized and watered twice a day for the past 30 days. followed every bit of detail and instruction on the bag.,11/23/2021,36,0.0732643529772758,0.3327999114990234,0.0634353309869766,0.004918910562992,Neutral
4,Garden,6700,The Rebels Tall Fescue 7 lb,https://www.amazon.com/dp/B08QC7VV6J,Amazon,Pennington Grass,B08QC7VV6J,B08QC9QRQ1,Yes,2021-06-12T00:00:00,2021,6,23,Dont bother,I would say 2% actually started to grow 4 weeks after spreading. Very disappointed,organic reviews,23.68,1,0,0,0,No,i would say 2% actually started to grow 4 weeks after spreading. very disappointed,6/12/2021,14,0.36336150765419,0.2562839686870575,0.4636406600475311,0.1130103319883346,Negative
8,Garden,133027,Smart Seed Sun & Shade Southern Mixture 3lb bag,http://www.homedepot.com/p/314933301,Homedepot,Pennington Grass,314933317,314933301,Yes,2022-05-13T00:00:00,2022,5,19,"Its growth is a hit and miss, some areas came...","Its growth is a hit and miss, some areas came in well, other areas I have had to reseed, and its still not in.",organic reviews,12.15,2,0,0,0,No,"its growth is a hit and miss, some areas came in well, other areas i have had to reseed, and its still not in.",5/13/2022,24,0.4749081134796142,0.4178774654865265,0.1058392152190208,0.0157253835350275,Negative
12,Garden,61944,Argentine Bahiagrass 3lb bag,https://www.lowes.com/pd/Pennington-Mixture-Blend-Grass-Seed/5001461217,Lowes,Pennington Grass,5001461217,5001461217,Yes,2021-07-19T00:00:00,2021,7,29,Undecided,Not much of a germination rate put 600 sqft of seed on a small area and mabye 5% grew,organic reviews,19.98,5,0,0,1,No,not much of a germination rate put 600 sqft of seed on a small area and mabye 5% grew,7/19/2021,19,0.1769104748964309,0.1433605700731277,0.1186969578266143,0.0065130298025906,Neutral
19,Garden,73136,24 oz. Ant Block Home Perimeter Ant Killer Bait,http://www.homedepot.com/p/100598633,Homedepot,Amdro,100598633,100598633,Yes,2022-02-01T00:00:00,2022,2,5,Didnt seem to help any....,Didnt seem to help any.,organic reviews,15.97,3,0,0,0,No,didnt seem to help any.,2/1/2022,5,0.4074301421642303,0.4876311719417572,0.4321428537368774,0.0053745424374938,Negative
21,Garden,49963,"Pennington Smart Patch Dense Shade Mix, 5 lb Jug",http://www.homedepot.com/p/t/317713426,Homedepot,Pennington Grass,317713426,317713426,No,2021-11-15T00:00:00,2021,11,46,Follow the directions,[This review was collected as part of a promotion.] You really have to follow the directions for the best results. The only regret I have is that this seems off with the grass I do have so it just looks mismatched. But I was able to get some grass to grow,syndicated reviews,0.0,5,0,0,0,Yes,[this review was collected as part of a promotion.] you really have to follow the directions for the best results. the only regret i have is that this seems off with the grass i do have so it just looks mismatched. but i was able to get some grass to grow,11/15/2021,51,0.0630347058176994,0.1017764136195182,0.5269919633865356,0.0105848461389541,Neutral
25,Garden,77013,One Step Complete Sun & Shade 5lb bag,https://www.amazon.com/dp/B084NMJZWG,Amazon,Pennington Grass,B084NMJZWG,B084NMJZWG,Yes,2022-03-18T00:00:00,2022,3,11,Is this what its supposed to look like?,In the top right corner of the picture you can see a corner of a fire pit for scale.I used it in fall and now spring.,organic reviews,9.47,2,1,0,0,No,in the top right corner of the picture you can see a corner of a fire pit for scale.i used it in fall and now spring.,3/18/2022,26,0.038338117301464,0.0309378132224082,0.6198758482933044,0.2282865792512893,Neutral
28,Garden,6297,Lawn Booster Sun & Shade 9.6lb bag,https://www.amazon.com/dp/B084NMGHK7,Amazon,Pennington Grass,B084NMGHK7,B084NMGHK7,No,2021-08-09T00:00:00,2021,8,32,"I have bald spots, still","My 2 small, 1 medium and 2 large spots are still bald. I watered twice a day and theyre still pretty bald, with few sprouts. I also used the whole bag on a front lawn. Smaller then what says it covers",organic reviews,15.88,2,0,0,0,No,"my 2 small, 1 medium and 2 large spots are still bald. i watered twice a day and theyre still pretty bald, with few sprouts. i also used the whole bag on a front lawn. smaller then what says it covers",8/9/2021,41,0.3313901424407959,0.0803296267986297,0.6986460089683533,0.027116784825921,Negative
